日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅（%）,涨跌幅（%）,涨跌额,换手率（%）
2025-03-28,270.33,273.02,273.28,269.99,347694,161605622.50,1.21%,0.74%,2.00,0.23%
2025-03-27,274.73,271.02,274.98,270.22,506165,273965005.00,1.73%,-1.38%,-3.80,0.34%
2025-03-26,271.82,274.82,274.85,271.51,412126,192174413.80,1.23%,1.10%,2.99,0.27%
2025-03-25,272.77,271.83,273.94,271.62,538709,228137354.00,0.85%,-0.35%,-0.95,0.36%
2025-03-24,274.20,272.78,274.73,270.84,724519,285171592.00,1.42%,-0.47%,-1.28,0.48%
2025-03-21,275.70,274.06,275.99,272.61,703916,335850206.20,1.23%,-0.55%,-1.52,0.47%
2025-03-20,274.50,275.58,276.21,274.02,469930,188025993.80,0.80%,0.14%,0.38,0.31%
2025-03-19,274.44,275.20,275.22,273.62,365501,158152482.80,0.58%,0.23%,0.63,0.24%
2025-03-18,274.05,274.57,274.60,273.04,396197,169898224.50,0.57%,0.18%,0.48,0.26%
2025-03-17,271.36,274.09,274.10,271.21,497326,201922290.10,1.07%,1.11%,3.01,0.33%
2025-03-14,266.66,271.08,271.08,266.54,574045,243797838.90,1.70%,1.52%,4.05,0.38%
2025-03-13,267.23,267.03,267.29,265.38,550909,262263712.00,0.71%,-0.10%,-0.27,0.37%
2025-03-12,266.72,267.30,267.51,266.43,451701,189526712.20,0.40%,0.07%,0.18,0.30%
2025-03-11,265.61,267.12,267.12,265.23,412779,171805438.10,0.71%,0.06%,0.15,0.27%
2025-03-10,265.48,266.97,266.97,264.94,387368,171327022.30,0.76%,0.44%,1.18,0.26%
2025-03-07,266.10,265.79,266.80,265.44,445772,188789214.40,0.51%,-0.17%,-0.45,0.30%
2025-03-06,263.75,266.24,266.25,263.75,514132,232037005.70,0.95%,0.87%,2.30,0.34%
2025-03-05,262.92,263.94,263.94,261.77,371200,168295683.60,0.83%,0.51%,1.34,0.25%
2025-03-04,262.28,262.60,262.62,260.58,390563,180234242.70,0.78%,0.02%,0.05,0.26%
2025-03-03,260.57,262.55,263.45,260.40,387102,184351544.80,1.17%,0.76%,1.97,0.26%
2025-02-28,262.91,260.58,262.91,259.32,570696,286670720.30,1.36%,-1.01%,-2.66,0.38%
2025-02-27,263.75,263.24,263.88,261.06,477078,254057651.00,1.07%,-0.04%,-0.11,0.32%
2025-02-26,259.51,263.35,263.35,259.31,414534,228615529.50,1.56%,1.59%,4.13,0.28%
2025-02-25,257.72,259.22,260.86,256.90,562880,286802985.10,1.53%,-0.16%,-0.42,0.37%
