日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅（%）,涨跌幅（%）,涨跌额,换手率（%）
2025-03-28,2140.07,2129.47,2152.40,2128.90,176969576,295153225483.82,1.10%,-0.73%,-15.63,3.44%
2025-03-27,2130.49,2145.10,2165.16,2117.75,191716879,324723520805.60,2.22%,0.24%,5.20,3.73%
2025-03-26,2143.12,2139.90,2157.78,2139.90,184203191,307612308758.98,0.83%,-0.26%,-5.58,3.58%
2025-03-25,2154.20,2145.48,2165.01,2136.61,198697315,347104338738.19,1.32%,-0.33%,-7.07,3.86%
2025-03-24,2154.67,2152.55,2160.46,2125.13,243858778,400225317591.73,1.64%,0.01%,0.27,4.74%
2025-03-21,2193.36,2152.28,2201.42,2149.09,260886417,433846880498.88,2.38%,-2.17%,-47.75,5.07%
2025-03-20,2220.50,2200.03,2221.61,2198.38,235839545,416932299413.42,1.05%,-1.00%,-22.32,4.58%
2025-03-19,2221.60,2222.35,2237.95,2208.26,229680955,440646530017.23,1.33%,-0.28%,-6.29,4.46%
2025-03-18,2225.20,2228.64,2242.22,2215.37,238408415,461631427130.75,1.21%,0.61%,13.51,4.63%
2025-03-17,2230.85,2215.13,2233.33,2212.02,245505172,461676726065.97,0.96%,-0.52%,-11.59,4.77%
2025-03-14,2165.53,2226.72,2233.83,2161.89,265860088,507505990281.64,3.32%,2.80%,60.72,5.17%
2025-03-13,2189.47,2166.00,2200.91,2154.95,250422746,457459231683.60,2.10%,-1.15%,-25.27,4.87%
2025-03-12,2211.15,2191.27,2214.97,2191.10,266044504,497412152810.66,1.08%,-0.58%,-12.76,5.17%
2025-03-11,2172.18,2204.03,2204.03,2171.27,220927831,413787146113.67,1.49%,0.19%,4.15,4.29%
2025-03-10,2211.10,2199.88,2217.77,2182.58,231584299,438592530373.39,1.60%,-0.25%,-5.43,4.50%
2025-03-07,2221.91,2205.31,2226.00,2195.13,287065098,551841091100.51,1.38%,-1.31%,-29.38,5.58%
2025-03-06,2204.25,2234.69,2243.28,2202.01,306910775,592297157877.56,1.88%,2.02%,44.33,5.96%
2025-03-05,2190.58,2190.36,2200.87,2173.90,233260677,442270535196.44,1.23%,0.01%,0.28,4.53%
2025-03-04,2170.99,2190.08,2193.53,2161.06,225876166,427875703570.57,1.48%,-0.29%,-6.44,4.39%
2025-03-03,2176.82,2196.52,2232.20,2161.36,247920944,472696215188.87,3.26%,1.20%,26.13,4.82%
2025-02-28,2238.34,2170.39,2240.78,2163.69,281464504,530902059044.94,3.42%,-3.82%,-86.12,5.47%
2025-02-27,2268.50,2256.51,2279.39,2225.53,307273306,596467082624.74,2.37%,-0.52%,-11.71,5.97%
2025-02-26,2246.95,2268.22,2268.57,2232.31,297225033,586936953671.49,1.62%,1.23%,27.63,5.78%
2025-02-25,2227.29,2240.59,2265.91,2224.46,292711324,561872269832.94,1.83%,-1.13%,-25.65,5.69%
2025-02-24,2277.15,2266.24,2283.79,2245.61,314290011,619405605772.50,1.67%,-0.67%,-15.27,6.11%
2025-02-21,2228.92,2281.51,2284.04,2228.92,333039973,669308764691.68,2.48%,2.51%,55.93,6.47%
2025-02-20,2222.37,2225.58,2233.98,2204.64,280378857,537322155811.05,1.32%,-0.06%,-1.40,5.45%
2025-02-19,2174.96,2226.98,2228.48,2174.01,260631356,507339425588.72,2.50%,2.03%,44.41,5.06%
2025-02-18,2223.48,2182.57,2231.28,2173.54,294210590,532993913374.63,2.59%,-1.98%,-44.05,5.72%
2025-02-17,2243.66,2226.62,2245.37,2208.77,326355461,594941327620.99,1.65%,0.51%,11.32,6.34%
2025-02-14,2176.32,2215.30,2223.39,2176.21,286996251,515645994563.77,2.17%,1.80%,39.14,5.58%
2025-02-13,2186.14,2176.16,2203.64,2175.42,284591869,518915994554.68,1.29%,-0.71%,-15.60,5.53%
2025-02-12,2144.73,2191.76,2194.10,2142.05,258849275,494031078864.87,2.42%,1.81%,39.03,5.03%
2025-02-11,2182.91,2152.73,2182.91,2150.47,266477049,487815482425.60,1.49%,-1.43%,-31.15,5.18%
2025-02-10,2183.78,2183.88,2188.13,2156.76,279950659,512227306833.98,1.44%,0.44%,9.53,5.44%
2025-02-07,2127.14,2174.35,2200.10,2122.35,308397999,589808761151.70,3.67%,2.53%,53.60,5.99%
2025-02-06,2059.45,2120.75,2120.79,2056.18,248973902,464949308895.32,3.13%,2.80%,57.83,4.84%
2025-02-05,2082.99,2062.92,2083.01,2054.37,204368036,378666289294.99,1.39%,-0.04%,-0.90,3.97%
2025-01-27,2119.17,2063.82,2123.15,2063.82,177520122,324013509607.65,2.80%,-2.73%,-58.02,3.45%
2025-01-24,2084.13,2121.84,2131.55,2084.13,200051426,360783248474.43,2.27%,1.36%,28.53,3.89%
2025-01-23,2125.30,2093.31,2151.48,2093.31,210268257,387834330079.38,2.77%,-0.37%,-7.72,4.09%
2025-01-22,2103.83,2101.03,2110.90,2081.08,165662666,321487930518.86,1.41%,-0.54%,-11.36,3.22%
2025-01-21,2125.07,2112.39,2125.07,2090.32,182508851,331501649828.59,1.65%,0.36%,7.66,3.55%
2025-01-20,2090.14,2104.73,2118.74,2090.07,177274295,323976747068.17,1.39%,1.81%,37.46,3.44%
2025-01-17,2041.71,2067.27,2083.20,2041.58,170885961,310265773405.47,2.03%,0.78%,15.92,3.32%
2025-01-16,2051.09,2051.35,2084.23,2029.82,203899551,354789525123.57,2.67%,0.66%,13.42,3.96%
2025-01-15,2064.48,2037.93,2064.48,2032.57,195449289,329023933373.78,1.54%,-1.82%,-37.83,3.80%
2025-01-14,1989.39,2075.76,2076.96,1979.14,227021058,386165587102.57,4.93%,4.71%,93.30,4.41%
2025-01-13,1953.89,1982.46,1998.50,1953.82,152288463,245669166830.44,2.26%,0.36%,7.16,2.96%
2025-01-10,2006.55,1975.30,2024.43,1975.30,178384005,295340671109.33,2.44%,-1.76%,-35.36,3.47%
2025-01-09,1994.81,2010.66,2025.31,1994.70,174244808,287453523404.68,1.52%,0.11%,2.22,3.39%
2025-01-08,2011.75,2008.44,2029.02,1963.81,195527839,316548208016.32,3.21%,-0.98%,-19.92,3.80%
2025-01-07,1996.00,2028.36,2028.75,1988.42,168570529,277786422805.01,2.00%,0.70%,14.17,3.28%
2025-01-06,2018.25,2014.19,2033.27,2000.86,169375612,260608779679.82,1.61%,-0.09%,-1.78,3.29%
2025-01-03,2062.40,2015.97,2067.41,2015.96,206064912,324932847993.63,2.50%,-2.16%,-44.47,4.00%
2025-01-02,2136.92,2060.44,2137.65,2040.38,196587395,342439637001.25,4.54%,-3.79%,-81.16,3.82%
2024-12-31,2202.18,2141.60,2207.31,2141.60,199428413,352199463928.64,2.98%,-2.93%,-64.69,3.88%
2024-12-30,2198.86,2206.29,2218.74,2198.12,187201460,342205734093.04,0.94%,0.06%,1.39,3.64%
2024-12-27,2209.71,2204.90,2235.56,2196.29,207513529,385898226139.63,1.78%,-0.22%,-4.95,4.03%
2024-12-26,2200.32,2209.85,2219.69,2193.59,184436467,347293434638.28,1.19%,0.39%,8.55,3.58%
2024-12-25,2215.61,2201.30,2216.36,2187.00,203868100,337460267678.80,1.33%,-0.55%,-12.25,3.96%
2024-12-24,2190.47,2213.55,2215.19,2187.78,200966406,349402388357.77,1.25%,1.17%,25.61,3.91%
2024-12-23,2205.69,2187.94,2223.64,2185.35,245538770,409610368907.76,1.73%,-0.98%,-21.72,4.77%
2024-12-20,2209.38,2209.66,2234.13,2201.94,230049274,427247917560.18,1.45%,-0.18%,-3.88,4.47%
2024-12-19,2178.46,2213.54,2220.43,2174.94,221719261,375784424939.35,2.07%,0.52%,11.40,4.31%
2024-12-18,2207.18,2202.14,2216.00,2192.60,216481476,354895982597.80,1.06%,0.04%,0.96,4.21%
2024-12-17,2197.13,2201.18,2233.17,2197.13,248753481,397265265014.27,1.64%,-0.02%,-0.35,4.83%
2024-12-16,2232.62,2201.53,2234.19,2192.25,273787934,450274741041.91,1.88%,-1.51%,-33.73,5.32%
2024-12-13,2272.27,2235.26,2276.13,2234.17,328537971,561357989318.59,1.83%,-2.48%,-56.89,6.38%
2024-12-12,2257.31,2292.15,2302.64,2256.07,308420591,510495451011.38,2.06%,1.35%,30.57,5.99%
2024-12-11,2260.70,2261.58,2278.79,2251.35,294926754,488392484586.13,1.21%,-0.11%,-2.47,5.73%
2024-12-10,2358.29,2264.05,2358.49,2258.02,368365343,633302801446.92,4.47%,0.69%,15.42,7.16%
2024-12-09,2265.19,2248.63,2273.08,2229.51,275288754,441668691858.62,1.92%,-0.81%,-18.43,5.35%
2024-12-06,2219.91,2267.06,2289.81,2213.32,315853926,509916084535.53,3.44%,2.05%,45.60,6.14%
2024-12-05,2207.50,2221.46,2237.09,2207.50,270063838,440343428750.97,1.34%,0.36%,8.05,5.25%
2024-12-04,2237.65,2213.41,2246.04,2204.39,289942124,459314971219.40,1.85%,-1.43%,-32.09,5.63%
2024-12-03,2252.75,2245.50,2261.39,2224.69,306481107,482235795863.47,1.63%,-0.44%,-10.00,5.96%
