日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅（%）,涨跌幅（%）,涨跌额,换手率（%）
2025-03-28,1327.18,1306.69,1337.01,1306.69,12229990,25796646530.00,2.28%,-1.84%,-24.48,5.37%
2025-03-27,1329.61,1331.17,1348.19,1304.20,13115233,26383203659.00,3.28%,-0.69%,-9.22,5.76%
2025-03-26,1337.85,1340.39,1357.53,1337.72,13353755,26099800866.00,1.48%,-0.15%,-2.05,5.87%
2025-03-25,1319.10,1342.44,1345.82,1315.16,14921481,29495615717.00,2.33%,1.86%,24.52,6.55%
2025-03-24,1305.44,1317.92,1317.92,1267.51,12441901,24050779020.00,3.86%,0.94%,12.30,5.47%
2025-03-21,1348.60,1305.62,1363.66,1302.80,14687493,29325066636.00,4.47%,-4.17%,-56.88,6.45%
2025-03-20,1398.72,1362.50,1417.00,1362.50,16377237,35312565293.00,3.89%,-2.74%,-38.34,7.19%
2025-03-19,1424.62,1400.84,1440.87,1389.70,18906634,40664652351.00,3.55%,-2.85%,-41.04,8.30%
2025-03-18,1443.48,1441.88,1447.97,1419.49,20519323,44782320901.00,1.98%,0.42%,6.00,9.01%
2025-03-17,1412.41,1435.88,1446.43,1411.68,21684213,48204310345.00,2.46%,1.85%,26.12,9.52%
2025-03-14,1364.91,1409.76,1416.79,1355.87,21801724,49443957327.00,4.46%,3.17%,43.26,9.58%
2025-03-13,1406.47,1366.50,1412.62,1349.24,18655225,41966505193.00,4.50%,-3.07%,-43.34,8.19%
2025-03-12,1430.13,1409.84,1436.16,1409.26,18310774,42032306222.00,1.90%,-0.62%,-8.81,8.04%
2025-03-11,1388.53,1418.65,1419.28,1384.18,16388998,38182452094.00,2.48%,0.08%,1.11,7.20%
2025-03-10,1395.70,1417.54,1424.44,1391.67,16972208,38619501065.00,2.36%,1.89%,26.26,7.45%
2025-03-07,1387.25,1391.28,1417.56,1378.05,18845555,43607814167.00,2.83%,-0.49%,-6.88,8.28%
2025-03-06,1432.00,1398.16,1438.11,1392.49,20433060,47063681149.00,3.22%,-1.46%,-20.74,8.98%
2025-03-05,1375.33,1418.90,1423.39,1372.32,22746732,52086073278.00,3.70%,2.82%,38.93,9.99%
2025-03-04,1320.40,1379.97,1379.97,1314.62,20106812,44548404413.00,4.89%,3.24%,43.27,8.83%
2025-03-03,1316.48,1336.70,1349.65,1299.27,17894063,39828348400.00,3.85%,2.27%,29.72,7.86%
2025-02-28,1363.40,1306.98,1372.32,1303.88,17125968,38851869969.00,5.01%,-4.32%,-59.08,7.52%
2025-02-27,1358.80,1366.06,1380.00,1342.81,16935917,37648813457.00,2.75%,0.98%,13.22,7.44%
2025-02-26,1332.00,1352.84,1370.28,1327.32,13670923,31660799414.00,3.23%,1.85%,24.61,6.00%
2025-02-25,1311.57,1328.23,1352.31,1300.22,13256707,29084696391.00,3.87%,-1.40%,-18.86,5.82%
2025-02-24,1340.22,1347.09,1382.76,1324.21,15877141,35459337661.00,4.35%,0.13%,1.80,6.97%
2025-02-21,1305.85,1345.29,1352.45,1293.91,16249301,39018148642.00,4.47%,2.77%,36.25,7.14%
2025-02-20,1286.44,1309.04,1339.63,1280.14,15186334,35121256472.00,4.61%,1.49%,19.20,6.67%
2025-02-19,1220.56,1289.84,1289.84,1216.32,12353089,28434568293.00,6.01%,5.36%,65.66,5.43%
2025-02-18,1247.37,1224.18,1272.95,1223.79,12946727,27479750222.00,3.92%,-2.26%,-28.35,5.69%
2025-02-17,1236.88,1252.53,1259.00,1224.75,13623499,30741702120.00,2.78%,1.76%,21.66,5.98%
2025-02-14,1230.31,1230.87,1254.21,1220.42,13399122,30201565349.00,2.72%,-0.96%,-11.99,5.89%
2025-02-13,1262.18,1242.86,1284.45,1240.24,15675870,34453741635.00,3.49%,-1.76%,-22.21,6.89%
2025-02-12,1237.73,1265.07,1265.27,1223.64,16119447,35045222961.00,3.33%,1.17%,14.64,7.08%
2025-02-11,1236.42,1250.43,1292.74,1223.08,19552707,42279510545.00,5.68%,2.04%,25.01,8.59%
2025-02-10,1194.21,1225.42,1225.42,1182.70,14563049,29041656928.00,3.60%,3.38%,40.11,6.40%
2025-02-07,1131.07,1185.31,1217.73,1129.76,16587213,31970338874.00,7.79%,4.96%,55.99,7.29%
2025-02-06,1067.62,1129.32,1129.32,1060.61,10268205,19649030596.00,6.42%,5.51%,58.94,4.51%
2025-02-05,1075.86,1070.38,1079.73,1063.08,5861819,10919867025.00,1.57%,1.17%,12.35,2.57%
2025-01-27,1092.05,1058.03,1095.51,1058.03,5182869,9855701686.00,3.47%,-1.96%,-21.19,2.28%
2025-01-24,1065.55,1079.22,1082.67,1057.14,6378294,11864002308.00,2.38%,0.60%,6.44,2.80%
2025-01-23,1097.31,1072.78,1116.92,1072.78,7418967,14340036971.00,4.11%,-0.13%,-1.38,3.26%
2025-01-22,1114.86,1074.16,1114.86,1072.63,6352701,12024867161.00,3.77%,-4.08%,-45.72,2.79%
2025-01-21,1136.81,1119.88,1138.21,1112.08,6439521,12443251185.00,2.32%,-0.51%,-5.71,2.83%
2025-01-20,1139.64,1125.59,1145.19,1118.36,6996563,13540549727.00,2.39%,0.24%,2.65,3.07%
2025-01-17,1123.41,1122.94,1141.06,1112.39,7980055,15690349092.00,2.54%,-0.39%,-4.41,3.51%
2025-01-16,1114.05,1127.35,1153.83,1106.44,10116838,19329706445.00,4.29%,2.04%,22.49,4.44%
2025-01-15,1102.65,1104.86,1139.94,1099.07,12748159,23202931374.00,3.69%,-0.28%,-3.08,5.60%
2025-01-14,1004.25,1107.94,1107.94,1004.25,11972714,21520194652.00,10.37%,10.77%,107.72,5.26%
2025-01-13,1008.23,1000.22,1023.92,996.32,5811700,9961788868.00,2.69%,-2.35%,-24.04,2.55%
2025-01-10,1050.57,1024.26,1068.38,1024.26,8430122,14847168719.00,4.19%,-2.78%,-29.27,3.70%
2025-01-09,1033.44,1053.53,1063.67,1028.72,10081531,17669254662.00,3.37%,1.55%,16.13,4.43%
2025-01-08,1018.33,1037.40,1047.00,999.11,8772398,14810615479.00,4.67%,1.27%,12.98,3.85%
2025-01-07,1006.32,1024.42,1024.42,988.30,7687643,12681406302.00,3.60%,2.07%,20.78,3.38%
2025-01-06,1017.07,1003.64,1030.21,995.40,7686193,12721152600.00,3.42%,-1.43%,-14.53,3.38%
2025-01-03,1026.37,1018.17,1049.33,1011.65,8352396,14597328082.00,3.69%,-0.17%,-1.71,3.67%
2025-01-02,1034.71,1019.88,1047.65,1009.87,7543877,13248755812.00,3.64%,-1.73%,-17.93,3.31%
2024-12-31,1049.69,1037.81,1072.33,1037.26,7807303,13075065953.00,3.35%,-0.80%,-8.36,3.43%
2024-12-30,1092.04,1046.17,1092.04,1044.76,7390755,12478236951.00,4.32%,-4.39%,-48.07,3.25%
2024-12-27,1108.94,1094.24,1115.31,1090.04,7700006,13782796385.00,2.28%,-1.22%,-13.54,3.38%
2024-12-26,1105.56,1107.78,1130.23,1104.34,7499456,14072249548.00,2.34%,0.14%,1.58,3.29%
2024-12-25,1148.04,1106.20,1148.48,1106.20,7681377,13523910012.00,3.68%,-3.79%,-43.58,3.37%
2024-12-24,1148.27,1149.78,1161.80,1125.83,7348675,13908521149.00,3.15%,0.78%,8.90,3.23%
2024-12-23,1169.78,1140.88,1185.75,1140.85,8063639,15142416056.00,3.83%,-2.64%,-30.89,3.54%
2024-12-20,1156.37,1171.77,1197.94,1153.63,9409866,17948238766.00,3.79%,0.18%,2.06,4.13%
2024-12-19,1116.13,1169.71,1174.27,1091.69,11979102,20866200663.00,7.29%,3.28%,37.10,5.26%
2024-12-18,1144.94,1132.61,1164.30,1127.70,8281584,15001547218.00,3.21%,-0.60%,-6.80,3.64%
2024-12-17,1178.10,1139.41,1182.62,1138.15,8478059,15208871475.00,3.78%,-3.22%,-37.95,3.72%
2024-12-16,1215.73,1177.36,1222.33,1169.07,9263746,17316643416.00,4.37%,-3.44%,-41.94,4.07%
2024-12-13,1222.16,1219.30,1248.56,1211.82,11252896,20811790692.00,2.98%,-1.07%,-13.23,4.94%
2024-12-12,1244.45,1232.53,1246.88,1214.60,11464272,20778862292.00,2.58%,-1.31%,-16.38,5.04%
2024-12-11,1259.96,1248.91,1275.22,1237.81,11624056,22295231020.00,2.95%,-1.41%,-17.90,5.11%
2024-12-10,1323.27,1266.81,1326.60,1260.51,14057223,28016358020.00,5.34%,2.35%,29.08,6.17%
2024-12-09,1285.08,1237.73,1291.04,1234.39,14494898,26994858386.00,4.38%,-4.31%,-55.74,6.37%
2024-12-06,1307.81,1293.47,1318.35,1284.47,14749533,28975951471.00,2.59%,-0.97%,-12.63,6.48%
2024-12-05,1286.03,1306.10,1317.65,1283.51,13511218,28117782577.00,2.64%,0.94%,12.15,5.93%
2024-12-04,1325.94,1293.95,1339.62,1290.95,16751493,34459300194.00,3.68%,-2.20%,-29.07,7.36%
2024-12-03,1323.78,1323.02,1345.99,1313.82,19804068,40280383531.00,2.43%,0.11%,1.40,8.70%
2024-12-02,1281.78,1321.62,1328.19,1279.62,20089125,38904696012.00,3.79%,3.05%,39.12,8.82%
2024-11-29,1235.73,1282.50,1298.86,1215.11,18828147,38263399641.00,6.73%,3.06%,38.04,8.27%
2024-11-28,1251.67,1244.46,1287.22,1241.97,18089013,35378193742.00,3.63%,-0.10%,-1.23,7.95%
2024-11-27,1226.09,1245.69,1245.69,1177.08,15607016,28968948468.00,5.54%,0.57%,7.04,6.86%
2024-11-26,1285.96,1238.65,1306.36,1238.65,15629011,29793772663.00,5.25%,-3.92%,-50.54,6.86%
2024-11-25,1294.28,1289.19,1306.78,1249.99,16221746,31675526636.00,4.38%,-0.51%,-6.59,7.13%
2024-11-22,1352.41,1295.78,1370.91,1295.31,21342934,42812832078.00,5.53%,-5.16%,-70.49,9.37%
2024-11-21,1342.17,1366.27,1385.88,1337.98,22400614,44768955570.00,3.56%,1.42%,19.12,9.84%
2024-11-20,1292.53,1347.15,1357.38,1285.34,19049748,37589585860.00,5.51%,3.07%,40.18,8.37%
2024-11-19,1280.54,1306.97,1311.00,1208.84,19944235,38797813917.00,7.89%,0.89%,11.52,8.76%
2024-11-18,1362.91,1295.45,1379.21,1289.30,19168823,38687515995.00,6.69%,-3.64%,-48.88,8.42%
2024-11-15,1353.36,1344.33,1384.59,1327.09,17330440,37108118272.00,4.24%,-0.75%,-10.21,7.61%
2024-11-14,1386.43,1354.54,1408.76,1352.47,15621277,33367183076.00,4.06%,-2.25%,-31.15,6.86%
2024-11-13,1361.72,1385.69,1385.69,1322.70,16046144,32914946678.00,4.58%,0.81%,11.17,7.05%
2024-11-12,1404.79,1374.52,1430.26,1347.29,18415393,36856240687.00,5.92%,-1.98%,-27.78,8.09%
2024-11-11,1389.66,1402.30,1407.99,1348.80,19353984,39404604412.00,4.25%,0.79%,10.95,8.50%
2024-11-08,1438.19,1391.35,1469.57,1383.95,25951431,51249143972.00,6.08%,-1.25%,-17.55,11.40%
2024-11-07,1346.63,1408.90,1416.14,1333.70,31613403,58545626180.00,6.05%,3.39%,46.17,13.89%
2024-11-06,1345.14,1362.73,1409.60,1330.55,33033699,61741385935.00,6.01%,3.59%,47.17,14.51%
2024-11-05,1221.83,1315.56,1326.73,1221.83,27010712,47597762342.00,8.62%,8.12%,98.80,11.86%
2024-11-04,1146.10,1216.76,1216.76,1146.10,18012114,29990832520.00,6.17%,6.28%,71.86,7.91%
2024-11-01,1244.45,1144.90,1261.55,1143.52,21883982,37918044155.00,9.32%,-9.61%,-121.70,9.61%
2024-10-31,1285.77,1266.60,1317.44,1232.19,25257206,45529239064.00,6.62%,-1.68%,-21.67,11.09%
2024-10-30,1295.98,1288.27,1343.94,1253.93,26688686,47370216726.00,6.83%,-2.21%,-29.14,11.72%
2024-10-29,1285.74,1317.41,1340.89,1261.94,29402820,53295977155.00,6.21%,3.68%,46.75,12.92%
2024-10-28,1259.28,1270.66,1288.53,1221.17,24337762,41726205560.00,5.35%,0.91%,11.40,10.69%
2024-10-25,1277.22,1259.26,1389.01,1258.65,33569211,59016728071.00,10.36%,0.08%,1.03,14.75%
2024-10-24,1201.98,1258.23,1299.59,1190.26,25672300,43230790546.00,9.04%,4.06%,49.14,11.28%
2024-10-23,1145.02,1209.09,1235.24,1137.77,23346755,38306219725.00,8.40%,4.24%,49.20,10.25%
2024-10-22,1277.37,1159.89,1279.22,1144.21,28615376,48599035843.00,10.76%,-7.60%,-95.43,12.57%
2024-10-21,1129.33,1255.32,1259.07,1129.33,28391080,45370829077.00,12.01%,16.24%,175.42,12.47%
2024-10-18,978.17,1079.90,1109.42,969.86,22600676,33381626542.00,14.25%,10.30%,100.82,9.93%
2024-10-17,952.78,979.08,1043.41,952.78,20508581,28329258128.00,9.67%,4.47%,41.91,9.01%
2024-10-16,900.14,937.17,949.41,897.86,11283007,14484258454.00,5.57%,1.33%,12.31,4.96%
2024-10-15,928.85,924.86,978.25,912.37,12427287,17053730493.00,7.01%,-1.56%,-14.65,5.46%
2024-10-14,880.96,939.51,947.72,874.39,11327373,14403358388.00,8.32%,6.61%,58.24,4.98%
2024-10-11,932.37,881.27,941.44,859.18,11423384,15188783723.00,8.55%,-8.43%,-81.09,5.02%
2024-10-10,973.33,962.36,1037.07,953.89,13885154,18554969406.00,8.62%,-0.31%,-3.01,6.10%
2024-10-09,1048.14,965.37,1086.72,965.37,19475374,27490491083.00,11.05%,-12.11%,-133.06,8.55%
2024-10-08,1115.76,1098.43,1115.76,966.28,25029605,33176764001.00,16.97%,24.71%,217.61,10.99%
2024-09-30,769.27,880.82,887.82,759.35,18786658,19459599597.00,17.92%,22.84%,163.80,8.25%
2024-09-27,655.13,717.02,729.13,655.13,10903639,10195626854.00,11.47%,11.13%,71.84,4.79%
2024-09-26,626.92,645.18,645.78,621.74,4845746,4291175087.00,3.84%,2.97%,18.59,2.13%
2024-09-25,624.78,626.59,639.86,624.78,5084135,4689817740.00,2.44%,1.20%,7.46,2.23%
2024-09-24,601.44,619.13,619.27,600.70,3917587,3418575159.00,3.10%,3.23%,19.37,1.72%
2024-09-23,605.84,599.76,608.82,599.61,2256972,2041040426.00,1.52%,-1.17%,-7.07,0.99%
2024-09-20,608.87,606.83,612.76,605.12,2417543,2229876385.00,1.26%,-0.30%,-1.84,1.06%
2024-09-19,602.23,608.67,613.99,600.00,2911729,2584868292.00,2.33%,1.24%,7.44,1.28%
2024-09-18,604.35,601.23,608.19,596.81,2677874,2565977991.00,1.88%,-0.91%,-5.55,1.18%
2024-09-13,603.61,606.78,619.20,593.92,4214320,3835964665.00,4.19%,0.59%,3.57,1.85%
2024-09-12,609.37,603.21,615.28,603.17,2063356,1863904096.00,1.99%,-1.03%,-6.27,0.91%
2024-09-11,608.43,609.48,613.36,606.13,1791463,1693123647.00,1.19%,0.02%,0.15,0.79%
2024-09-10,612.20,609.33,612.83,601.60,2026429,1909077081.00,1.84%,-0.30%,-1.84,0.89%
2024-09-09,618.22,611.17,623.65,610.45,2016116,2000835876.00,2.13%,-1.29%,-8.00,0.89%
2024-09-06,631.82,619.17,632.81,618.66,2545800,2366089691.00,2.24%,-1.87%,-11.78,1.12%
2024-09-05,632.21,630.95,637.13,629.81,2354540,2182378547.00,1.16%,-0.28%,-1.79,1.03%
2024-09-04,637.98,632.74,639.24,631.86,2547666,2334964558.00,1.15%,-1.33%,-8.52,1.12%
2024-09-03,636.85,641.26,643.90,636.04,2353701,2181716034.00,1.24%,0.76%,4.85,1.03%
2024-09-02,653.98,636.41,654.05,636.10,2956645,2735931718.00,2.74%,-2.75%,-17.98,1.30%
2024-08-30,643.35,654.39,661.73,642.45,4104105,3827064491.00,3.00%,1.69%,10.85,1.80%
2024-08-29,639.74,643.54,646.68,633.52,2917542,2815900781.00,2.05%,0.44%,2.80,1.28%
2024-08-28,638.43,640.74,648.42,635.60,2826530,2492432009.00,2.01%,0.23%,1.46,1.24%
2024-08-27,650.91,639.28,650.95,638.06,3073082,2682472863.00,1.98%,-1.89%,-12.30,1.35%
2024-08-26,648.50,651.58,658.98,648.26,2633606,2538273288.00,1.65%,0.49%,3.19,1.16%
2024-08-23,652.00,648.39,654.44,647.36,2807614,2756387941.00,1.08%,-0.70%,-4.59,1.23%
2024-08-22,668.54,652.98,669.29,652.08,3122183,3033350853.00,2.57%,-2.35%,-15.73,1.37%
2024-08-21,667.86,668.71,674.25,665.80,3262108,3255972195.00,1.26%,-0.21%,-1.44,1.43%
2024-08-20,667.71,670.15,680.67,664.32,3810041,3614877420.00,2.45%,0.24%,1.60,1.67%
2024-08-19,676.08,668.55,678.74,667.45,3061829,2794058446.00,1.67%,-1.06%,-7.19,1.34%
2024-08-16,680.57,675.74,682.85,675.27,3323253,3073770393.00,1.12%,-0.56%,-3.80,1.46%
2024-08-15,679.58,679.54,686.71,677.06,3338442,2967233081.00,1.41%,-0.39%,-2.64,1.47%
2024-08-14,692.22,682.18,692.22,680.12,3157700,2853013621.00,1.76%,-1.03%,-7.10,1.39%
2024-08-13,685.35,689.28,689.28,680.98,2925984,2671417765.00,1.21%,0.52%,3.59,1.29%
2024-08-12,689.86,685.69,695.18,683.35,3241649,2877859968.00,1.72%,-0.54%,-3.71,1.42%
