时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743033600,2025-03-27,694.70,696.76,,696.76,692.74,,+2.95,+0.43%,,693.81,692.45,0,692.37,0,690.74,0
1742947200,2025-03-26,693.71,693.81,,697.23,693.71,,+0.37,+0.05%,,693.44,692.27,0,690.64,0,691.29,0
1742860800,2025-03-25,689.19,693.44,,696.09,689.19,,+4.32,+0.63%,,689.12,692.43,0,689.35,0,692.18,0
1742774400,2025-03-24,689.54,689.12,,692.76,689.12,,0.00,0.00%,,689.12,692.60,0,687.85,0,692.91,0
1742515200,2025-03-21,695.16,689.12,,695.94,689.12,,-6.72,-0.97%,,695.84,692.56,0,687.21,0,693.99,0
1742428800,2025-03-20,694.75,695.84,,697.58,694.09,,+1.22,+0.18%,,694.62,692.29,0,687.72,0,695.44,0
1742342400,2025-03-19,694.45,694.62,,695.47,692.03,,+0.34,+0.05%,,694.28,689.01,0,687.38,0,696.47,0
1742256000,2025-03-18,689.90,694.28,,694.28,689.90,,+5.32,+0.77%,,688.96,686.27,0,686.96,0,697.72,0
1742169600,2025-03-17,686.71,688.96,,690.92,686.71,,+1.22,+0.18%,,687.74,683.11,0,686.22,0,699.23,0
1741910400,2025-03-14,681.94,687.74,,687.74,680.60,,+8.28,+1.22%,,679.46,681.85,0,687.51,0,701.04,0
1741824000,2025-03-13,680.11,679.46,,681.30,679.16,,-1.46,-0.21%,,680.92,683.15,0,689.12,0,702.96,0
1741737600,2025-03-12,677.99,680.92,,682.50,677.99,,+2.43,+0.36%,,678.49,685.75,0,691.94,0,705.14,0
1741651200,2025-03-11,682.61,678.49,,686.05,678.49,,-4.14,-0.61%,,682.63,687.66,0,695.00,0,707.27,0
1741564800,2025-03-10,692.58,682.63,,696.14,682.63,,-11.60,-1.67%,,694.23,689.33,0,697.96,0,709.57,0
1741305600,2025-03-07,693.26,694.23,,694.23,689.50,,+1.77,+0.26%,,692.46,693.17,0,700.78,0,711.67,0
1741219200,2025-03-06,690.97,692.46,,694.39,690.11,,+1.98,+0.29%,,690.48,695.09,0,703.16,0,712.91,0
1741132800,2025-03-05,688.24,690.48,,695.81,688.24,,+3.61,+0.53%,,686.87,698.14,0,705.57,0,714.33,0
1741046400,2025-03-04,700.19,686.87,,700.30,686.87,,-14.93,-2.13%,,701.80,702.34,0,708.46,0,715.58,0
1740960000,2025-03-03,704.10,701.80,,706.05,699.14,,-2.03,-0.29%,,703.83,706.58,0,712.23,0,716.86,0
1740700800,2025-02-28,707.65,703.83,,707.65,702.54,,-3.89,-0.55%,,707.72,708.40,0,714.57,0,717.37,0
