时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743048000,2025-03-27,974.79,973.89,,975.60,969.40,,-0.90,-0.09%,,974.79,975.20,0,967.52,0,962.01,0
1742961600,2025-03-26,981.20,974.79,,984.65,972.29,,-6.41,-0.65%,,981.20,974.15,0,963.63,0,962.13,0
1742875200,2025-03-25,980.23,981.20,,986.12,980.23,,+0.97,+0.10%,,980.23,972.97,0,960.70,0,962.54,0
1742788800,2025-03-24,965.89,980.23,,982.20,965.89,,+14.34,+1.48%,,965.89,967.56,0,956.48,0,962.43,0
1742529600,2025-03-21,968.63,965.89,,968.63,958.89,,-2.74,-0.28%,,968.63,963.10,0,953.17,0,962.21,0
1742443200,2025-03-20,968.91,968.63,,973.29,963.42,,-0.28,-0.03%,,968.91,959.83,0,952.66,0,962.72,0
1742356800,2025-03-19,954.15,968.91,,970.99,954.15,,+14.76,+1.55%,,954.15,953.12,0,951.25,0,963.74,0
1742270400,2025-03-18,957.93,954.15,,957.93,948.31,,-3.78,-0.39%,,957.93,948.43,0,950.90,0,965.01,0
1742184000,2025-03-17,949.54,957.93,,958.86,949.54,,+8.39,+0.88%,,949.54,945.39,0,950.98,0,967.09,0
1741924800,2025-03-14,935.05,949.54,,949.95,935.05,,+14.49,+1.55%,,935.05,943.23,0,952.58,0,968.63,0
1741838400,2025-03-13,945.50,935.05,,946.12,933.55,,-10.45,-1.11%,,945.50,945.48,0,956.50,0,971.05,0
1741752000,2025-03-12,938.94,945.50,,949.24,937.52,,+6.56,+0.70%,,938.94,949.38,0,960.64,0,973.90,0
1741665600,2025-03-11,947.11,938.94,,950.05,935.87,,-8.17,-0.86%,,947.11,953.37,0,964.38,0,976.40,0
1741579200,2025-03-10,960.82,947.11,,960.82,941.77,,-13.71,-1.43%,,960.82,956.58,0,968.38,0,979.19,0
1741323600,2025-03-07,954.52,960.82,,963.20,948.73,,+6.30,+0.66%,,954.52,961.93,0,971.26,0,981.18,0
