时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743055200,2025-03-27,166097.77,168280.06,,168472.48,165780.21,,+2182.29,+1.31%,,166097.77,166550.37,0,166044.76,0,165128.75,0
1742968800,2025-03-26,167110.80,166097.77,,167338.82,165933.70,,-1013.03,-0.61%,,167110.80,166274.93,0,165584.07,0,165052.18,0
1742882400,2025-03-25,165489.02,167110.80,,167252.20,165489.02,,+1621.78,+0.98%,,165489.02,166403.36,0,165164.56,0,165040.90,0
1742796000,2025-03-24,165774.20,165489.02,,166492.68,165294.42,,-285.18,-0.17%,,165774.20,166145.60,0,164698.06,0,165083.06,0
1742536800,2025-03-21,166902.85,165774.20,,166938.48,165280.58,,-1128.65,-0.68%,,166902.85,166054.42,0,164765.57,0,165216.43,0
1742450400,2025-03-20,166739.91,166902.85,,167074.15,166063.07,,+162.94,+0.10%,,166739.91,165539.14,0,164765.55,0,165415.96,0
1742364000,2025-03-19,165822.01,166739.91,,167671.16,165585.49,,+917.90,+0.55%,,165822.01,164893.22,0,164609.61,0,165525.36,0
1742277600,2025-03-18,165033.11,165822.01,,167145.09,165033.11,,+788.90,+0.48%,,165033.11,163925.76,0,164382.39,0,165720.11,0
1741932000,2025-03-14,163197.83,165033.11,,165433.48,163197.83,,+1835.28,+1.12%,,163197.83,163250.52,0,164153.99,0,165913.03,0
1741845600,2025-03-13,163673.22,163197.83,,164508.50,162952.24,,-475.39,-0.29%,,163673.22,163476.72,0,164044.90,0,166117.15,0
1741759200,2025-03-12,161902.64,163673.22,,163894.45,161499.05,,+1770.58,+1.09%,,161902.64,163991.96,0,164212.74,0,166417.02,0
1741672800,2025-03-11,162445.79,161902.64,,162949.55,160880.83,,-543.15,-0.33%,,162445.79,164326.01,0,164520.29,0,166673.48,0
1741586400,2025-03-10,166164.10,162445.79,,166164.10,161427.65,,-3718.31,-2.24%,,166164.10,164839.01,0,164917.24,0,166932.11,0
1741327200,2025-03-07,165774.05,166164.10,,166338.40,162895.87,,+390.05,+0.24%,,165774.05,165057.46,0,165468.06,0,167082.74,0
1741240800,2025-03-06,165343.48,165774.05,,167502.56,164339.18,,+430.57,+0.26%,,165343.48,164613.08,0,165667.29,0,167020.10,0
1741154400,2025-03-05,164467.65,165343.48,,165452.44,164076.54,,+875.83,+0.53%,,164467.65,164433.51,0,166066.36,0,166953.93,0
1741068000,2025-03-04,163538.00,164467.65,,165325.72,159905.51,,+929.65,+0.57%,,163538.00,164714.57,0,166441.10,0,166759.81,0
1740981600,2025-03-03,163942.20,163538.00,,167424.00,163333.39,,-404.20,-0.25%,,163942.20,164995.47,0,167057.84,0,166663.48,0
1740722400,2025-02-28,164876.24,163942.20,,165656.42,163638.06,,-934.04,-0.57%,,164876.24,165878.65,0,167672.07,0,166498.44,0
1740636000,2025-02-27,166748.76,164876.24,,167264.61,164026.29,,-1872.52,-1.12%,,166748.76,166721.50,0,168189.41,0,166442.75,0
1740549600,2025-02-26,165872.15,166748.76,,167341.77,165198.48,,+876.61,+0.53%,,165872.15,167699.21,0,168621.31,0,166273.91,0
1740463200,2025-02-25,167953.92,165872.15,,167953.92,165547.11,,-2081.77,-1.24%,,167953.92,168167.64,0,168826.68,0,166015.26,0
1740376800,2025-02-24,168156.44,167953.92,,168915.01,166617.90,,-202.52,-0.12%,,168156.44,169120.21,0,168946.98,0,165820.11,0
1740117600,2025-02-21,169764.77,168156.44,,169830.40,167307.51,,-1608.33,-0.95%,,169764.77,169465.48,0,168697.43,0,165473.31,0
1740031200,2025-02-20,169090.91,169764.77,,170537.01,168419.79,,+673.86,+0.40%,,169090.91,169657.32,0,168372.91,0,165080.06,0
