时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743044400,2025-03-27,3695.38,3713.78,,3732.93,3693.76,,+18.40,+0.50%,,3695.38,3690.63,0,3674.21,0,3577.21,0
1742958000,2025-03-26,3684.62,3695.38,,3710.85,3684.62,,+10.76,+0.29%,,3684.62,3683.49,0,3653.18,0,3569.25,0
1742871600,2025-03-25,3665.96,3684.62,,3723.88,3665.96,,+18.66,+0.51%,,3665.96,3683.15,0,3629.32,0,3561.49,0
1742785200,2025-03-24,3693.39,3665.96,,3693.66,3656.35,,-27.43,-0.74%,,3693.39,3679.86,0,3605.63,0,3556.59,0
1742526000,2025-03-21,3678.10,3693.39,,3697.77,3675.51,,+15.29,+0.42%,,3678.10,3676.94,0,3586.83,0,3553.45,0
1742439600,2025-03-20,3693.66,3678.10,,3697.96,3670.70,,-15.56,-0.42%,,3693.66,3657.80,0,3567.94,0,3548.57,0
1742353200,2025-03-19,3668.20,3693.66,,3707.76,3668.19,,+25.46,+0.69%,,3668.20,3622.86,0,3546.33,0,3545.95,0
1742266800,2025-03-18,3651.37,3668.20,,3677.87,3648.08,,+16.83,+0.46%,,3651.37,3575.50,0,3522.61,0,3543.39,0
1742180400,2025-03-17,3597.68,3651.37,,3665.34,3597.65,,+53.69,+1.49%,,3597.68,3531.39,0,3501.55,0,3541.69,0
1741921200,2025-03-14,3503.39,3597.68,,3605.78,3503.38,,+94.29,+2.69%,,3503.39,3496.72,0,3487.84,0,3536.10,0
1741834800,2025-03-13,3456.87,3503.39,,3506.46,3449.52,,+46.52,+1.35%,,3456.87,3478.08,0,3480.20,0,3532.52,0
1741748400,2025-03-12,3447.65,3456.87,,3461.45,3432.52,,+9.22,+0.27%,,3447.65,3469.80,0,3485.33,0,3536.69,0
1741662000,2025-03-11,3478.03,3447.65,,3482.19,3424.98,,-30.38,-0.87%,,3478.03,3469.71,0,3493.65,0,3541.95,0
1741575600,2025-03-10,3504.44,3478.03,,3504.44,3445.27,,-26.41,-0.75%,,3504.44,3471.70,0,3507.55,0,3546.37,0
1741316400,2025-03-07,3461.99,3504.44,,3526.66,3440.18,,+42.45,+1.23%,,3461.99,3478.96,0,3520.06,0,3551.51,0
1741230000,2025-03-06,3456.45,3461.99,,3480.84,3441.88,,+5.54,+0.16%,,3456.45,3482.33,0,3529.19,0,3554.53,0
1741143600,2025-03-05,3457.61,3456.45,,3465.27,3447.93,,-1.16,-0.03%,,3457.61,3500.87,0,3545.57,0,3559.11,0
1740711600,2025-02-28,3514.32,3457.61,,3514.32,3454.69,,-56.71,-1.61%,,3514.32,3517.58,0,3564.17,0,3565.18,0
1740625200,2025-02-27,3521.27,3514.32,,3532.61,3496.51,,-6.95,-0.20%,,3521.27,3543.40,0,3581.84,0,3571.60,0
1740538800,2025-02-26,3554.71,3521.27,,3567.95,3519.76,,-33.44,-0.94%,,3554.71,3561.15,0,3584.36,0,3576.20,0
1740452400,2025-02-25,3540.01,3554.71,,3576.25,3539.53,,+14.70,+0.42%,,3540.01,3576.06,0,3584.85,0,3575.68,0
1740366000,2025-02-24,3586.68,3540.01,,3590.77,3532.69,,-46.67,-1.30%,,3586.68,3590.28,0,3588.05,0,3574.35,0
1740106800,2025-02-21,3603.08,3586.68,,3604.50,3568.54,,-16.40,-0.46%,,3603.08,3610.76,0,3590.25,0,3574.71,0
1740020400,2025-02-20,3595.80,3603.08,,3610.91,3588.50,,+7.28,+0.20%,,3595.80,3620.28,0,3585.19,0,3569.68,0
1739934000,2025-02-19,3625.81,3595.80,,3625.81,3587.87,,-30.01,-0.83%,,3625.81,3607.56,0,3582.97,0,3563.92,0
1739847600,2025-02-18,3642.43,3625.81,,3651.49,3607.50,,-16.62,-0.46%,,3642.43,3593.64,0,3579.86,0,3559.17,0
1739761200,2025-02-17,3634.27,3642.43,,3669.60,3634.15,,+8.16,+0.22%,,3634.27,3585.82,0,3572.65,0,3553.59,0
1739498400,2025-02-14,3539.51,3634.27,,3642.49,3539.51,,+94.76,+2.68%,,3539.51,3569.74,0,3566.18,0,3546.56,0
1739412000,2025-02-13,3526.17,3539.51,,3539.59,3509.32,,+13.34,+0.38%,,3526.17,3550.11,0,3561.37,0,3539.12,0
1739325600,2025-02-12,3586.71,3526.17,,3586.71,3518.15,,-60.54,-1.69%,,3586.71,3558.37,0,3568.05,0,3534.96,0
1739239200,2025-02-11,3562.04,3586.71,,3597.99,3560.27,,+24.67,+0.69%,,3562.04,3566.08,0,3566.52,0,3533.35,0
1739152800,2025-02-10,3536.11,3562.04,,3584.75,3536.11,,+25.93,+0.73%,,3536.11,3559.49,0,3560.65,0,3524.19,0
1738893600,2025-02-07,3580.83,3536.11,,3589.35,3526.52,,-44.72,-1.25%,,3580.83,3562.63,0,3559.17,0,3515.90,0
1738807200,2025-02-06,3564.71,3580.83,,3586.60,3555.96,,+16.12,+0.45%,,3564.71,3572.63,0,3554.17,0,3508.73,0
