时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743091200,2025-03-28,98.22,97.80,,98.68,97.63,,-0.59,-0.60%,,98.39,96.94,0,96.61,0,97.80,0
1742918400,2025-03-26,97.48,98.39,,98.91,97.43,,+1.63,+1.68%,,96.76,96.48,0,96.51,0,97.93,0
1742832000,2025-03-25,96.60,96.76,,97.11,96.40,,+0.56,+0.58%,,96.20,95.96,0,96.40,0,98.00,0
1742745600,2025-03-24,95.80,96.20,,96.20,95.32,,+0.66,+0.69%,,95.54,95.80,0,96.59,0,98.10,0
1742486400,2025-03-21,96.09,95.54,,96.60,95.54,,+0.05,+0.05%,,95.49,95.90,0,96.94,0,98.31,0
1742400000,2025-03-20,96.01,95.49,,96.12,95.38,,-0.31,-0.32%,,95.80,96.27,0,97.27,0,98.64,0
1742313600,2025-03-19,95.88,95.80,,96.08,95.44,,-0.16,-0.17%,,95.96,96.55,0,97.61,0,99.03,0
1742227200,2025-03-18,96.64,95.96,,97.18,95.84,,-0.76,-0.79%,,96.72,96.85,0,97.94,0,99.47,0
1742140800,2025-03-17,97.71,96.72,,97.94,96.72,,-0.68,-0.70%,,97.40,97.39,0,98.30,0,99.91,0
1741881600,2025-03-14,96.51,97.40,,97.40,96.36,,+0.52,+0.54%,,96.88,97.98,0,98.65,0,100.32,0
1741795200,2025-03-13,97.47,96.88,,97.78,96.86,,-0.39,-0.40%,,97.27,98.26,0,98.99,0,100.66,0
1741708800,2025-03-12,98.12,97.27,,98.16,97.27,,-1.41,-1.43%,,98.68,98.68,0,99.35,0,100.98,0
1741622400,2025-03-11,99.03,98.68,,99.31,98.24,,-1.01,-1.01%,,99.69,99.04,0,99.60,0,101.29,0
1741536000,2025-03-10,98.83,99.69,,99.69,98.60,,+0.90,+0.91%,,98.79,99.21,0,99.61,0,101.53,0
1741276800,2025-03-07,98.66,98.79,,99.67,98.40,,-0.17,-0.17%,,98.96,99.31,0,99.68,0,101.70,0
1741190400,2025-03-06,99.06,98.96,,99.25,98.58,,-0.10,-0.10%,,99.06,99.73,0,100.01,0,101.93,0
1741104000,2025-03-05,98.94,99.06,,99.09,98.19,,-0.49,-0.49%,,99.55,100.03,0,100.44,0,102.12,0
1741017600,2025-03-04,98.84,99.55,,99.55,98.84,,-0.66,-0.66%,,100.21,100.16,0,100.99,0,102.34,0
1740931200,2025-03-03,100.33,100.21,,100.45,99.73,,-0.65,-0.64%,,100.86,100.01,0,101.51,0,102.50,0
1740672000,2025-02-28,100.26,100.86,,100.86,99.83,,+0.40,+0.40%,,100.46,100.04,0,101.99,0,102.71,0
1740585600,2025-02-27,99.49,100.46,,100.60,99.49,,+0.73,+0.73%,,99.73,100.29,0,102.32,0,102.87,0
1740499200,2025-02-26,99.23,99.73,,100.10,98.83,,+0.93,+0.94%,,98.80,100.85,0,102.61,0,103.08,0
1740412800,2025-02-25,99.97,98.80,,100.61,98.80,,-1.57,-1.56%,,100.37,101.82,0,102.98,0,103.31,0
1740326400,2025-02-24,100.42,100.37,,100.79,99.86,,-1.72,-1.68%,,102.09,103.02,0,103.45,0,103.63,0
1740067200,2025-02-21,102.63,102.09,,102.89,102.09,,-1.17,-1.13%,,103.26,103.94,0,103.73,0,103.87,0
1739980800,2025-02-20,104.03,103.26,,104.29,103.25,,-1.31,-1.25%,,104.57,104.35,0,103.85,0,104.05,0
1739894400,2025-02-19,105.05,104.57,,105.54,104.48,,-0.22,-0.21%,,104.79,104.37,0,103.80,0,104.14,0
1739808000,2025-02-18,105.58,104.79,,105.74,104.36,,-0.18,-0.17%,,104.97,104.14,0,103.69,0,104.19,0
1739721600,2025-02-17,104.42,104.97,,105.07,104.14,,+0.79,+0.76%,,104.18,103.89,0,103.48,0,104.24,0
1739462400,2025-02-14,103.34,104.18,,104.18,103.34,,+0.84,+0.81%,,103.34,103.52,0,103.44,0,104.30,0
1739376000,2025-02-13,103.33,103.34,,103.59,102.98,,-0.06,-0.06%,,103.40,103.35,0,103.42,0,104.33,0
1739289600,2025-02-12,103.55,103.40,,103.70,103.02,,-0.14,-0.14%,,103.54,103.22,0,103.55,0,104.38,0
1739203200,2025-02-11,103.20,103.54,,103.57,103.17,,+0.39,+0.38%,,103.15,103.25,0,103.65,0,104.41,0
1739116800,2025-02-10,102.89,103.15,,103.27,102.67,,-0.19,-0.18%,,103.34,103.08,0,103.80,0,104.40,0
1738857600,2025-02-07,102.65,103.34,,103.34,102.40,,+0.66,+0.64%,,102.68,103.36,0,104.01,0,104.43,0
1738684800,2025-02-05,103.30,102.68,,103.31,102.45,,-0.86,-0.83%,,103.54,103.48,0,104.24,0,104.47,0
1738598400,2025-02-04,103.32,103.54,,103.58,102.57,,+0.87,+0.85%,,102.67,103.89,0,104.49,0,104.60,0
1738512000,2025-02-03,102.28,102.67,,102.92,102.12,,-1.88,-1.80%,,104.55,104.05,0,104.68,0,104.68,0
1738252800,2025-01-31,104.02,104.55,,104.60,104.02,,+0.58,+0.56%,,103.97,104.53,0,105.00,0,104.83,0
1738166400,2025-01-30,104.49,103.97,,104.66,103.64,,-0.74,-0.71%,,104.71,104.67,0,105.16,0,104.88,0
1738080000,2025-01-29,104.23,104.71,,104.71,104.21,,+0.37,+0.35%,,104.34,105.01,0,105.23,0,104.99,0
1737993600,2025-01-28,104.30,104.34,,104.72,104.12,,-0.72,-0.69%,,105.06,105.09,0,105.21,0,105.13,0
1737907200,2025-01-27,104.39,105.06,,105.32,104.33,,-0.23,-0.22%,,105.29,105.31,0,105.16,0,105.25,0
1737648000,2025-01-24,105.46,105.29,,105.61,104.97,,-0.35,-0.33%,,105.64,105.48,0,104.99,0,105.27,0
1737561600,2025-01-23,104.98,105.64,,105.73,104.97,,+0.54,+0.51%,,105.10,105.65,0,104.84,0,105.24,0
1737475200,2025-01-22,105.27,105.10,,105.79,105.06,,-0.35,-0.33%,,105.45,105.46,0,104.69,0,105.15,0
1737388800,2025-01-21,105.51,105.45,,106.23,105.14,,-0.45,-0.42%,,105.90,105.33,0,104.71,0,105.03,0
1737302400,2025-01-20,105.51,105.90,,105.90,105.35,,-0.25,-0.24%,,106.15,105.02,0,104.69,0,104.94,0
1737043200,2025-01-17,104.82,106.15,,106.15,104.81,,+1.44,+1.38%,,104.71,104.51,0,104.65,0,104.84,0
1736956800,2025-01-16,104.37,104.71,,104.87,104.32,,+0.28,+0.27%,,104.43,104.03,0,104.59,0,104.68,0
1736870400,2025-01-15,104.12,104.43,,104.58,103.78,,+0.51,+0.49%,,103.92,103.93,0,104.75,0,104.55,0
1736784000,2025-01-14,103.05,103.92,,104.06,103.05,,+0.57,+0.55%,,103.35,104.10,0,105.05,0,104.42,0
1736697600,2025-01-13,103.20,103.35,,103.35,102.83,,-0.38,-0.37%,,103.73,104.36,0,105.33,0,104.35,0
1736438400,2025-01-10,104.17,103.73,,104.35,103.73,,-0.47,-0.45%,,104.20,104.79,0,105.55,0,104.30,0
1736352000,2025-01-09,105.24,104.20,,105.26,104.20,,-1.08,-1.03%,,105.28,105.16,0,105.64,0,104.28,0
1736265600,2025-01-08,104.96,105.28,,105.28,104.70,,+0.06,+0.06%,,105.22,105.57,0,105.61,0,104.21,0
1736179200,2025-01-07,105.24,105.22,,105.72,104.83,,-0.31,-0.29%,,105.53,106.00,0,105.35,0,104.14,0
1736092800,2025-01-06,104.51,105.53,,105.73,104.51,,-0.03,-0.03%,,105.56,106.31,0,105.19,0,104.09,0
1735833600,2025-01-03,105.96,105.56,,106.15,104.88,,-0.69,-0.65%,,106.25,106.31,0,105.03,0,104.11,0
1735574400,2024-12-31,106.51,106.25,,106.83,106.25,,-1.18,-1.10%,,107.43,106.12,0,104.76,0,104.14,0
1735488000,2024-12-30,105.75,107.43,,107.43,105.75,,+0.65,+0.61%,,106.78,105.66,0,104.36,0,104.11,0
1735228800,2024-12-27,105.41,106.78,,106.78,105.41,,+1.27,+1.20%,,105.51,104.70,0,103.78,0,104.02,0
1734969600,2024-12-24,104.71,105.51,,105.51,104.71,,+0.90,+0.86%,,104.61,104.07,0,103.37,0,104.05,0
1734883200,2024-12-23,103.57,104.61,,104.61,103.51,,+0.65,+0.63%,,103.96,103.76,0,103.06,0,104.08,0
1734624000,2024-12-20,102.51,103.96,,103.96,102.27,,+1.34,+1.31%,,102.62,103.41,0,102.92,0,104.21,0
1734537600,2024-12-19,102.85,102.62,,103.31,102.34,,-1.05,-1.01%,,103.67,103.06,0,102.81,0,104.30,0
1734451200,2024-12-18,103.80,103.67,,103.99,103.50,,-0.27,-0.26%,,103.94,102.87,0,102.93,0,104.30,0
1734364800,2024-12-17,102.73,103.94,,103.94,102.73,,+1.10,+1.07%,,102.84,102.67,0,102.99,0,104.25,0
1734278400,2024-12-16,102.00,102.84,,102.92,101.92,,+0.63,+0.62%,,102.21,102.36,0,103.18,0,104.23,0
1734019200,2024-12-13,101.80,102.21,,102.40,101.59,,+0.51,+0.50%,,101.70,102.44,0,103.52,0,104.24,0
1733932800,2024-12-12,102.38,101.70,,102.64,101.52,,-0.97,-0.94%,,102.67,102.57,0,103.86,0,104.24,0
1733846400,2024-12-11,102.56,102.67,,102.74,102.26,,+0.29,+0.28%,,102.38,102.99,0,104.26,0,104.27,0
1733760000,2024-12-10,103.41,102.38,,103.45,102.38,,-0.85,-0.82%,,103.23,103.31,0,104.73,0,104.25,0
1733673600,2024-12-09,102.77,103.23,,104.02,102.51,,+0.36,+0.35%,,102.87,103.99,0,105.10,0,104.28,0
1733414400,2024-12-06,103.80,102.87,,103.80,102.87,,-0.91,-0.88%,,103.78,104.60,0,105.50,0,104.24,0
1733328000,2024-12-05,103.98,103.78,,104.44,103.73,,-0.50,-0.48%,,104.28,105.15,0,105.78,0,104.26,0
1733241600,2024-12-04,104.74,104.28,,104.93,103.98,,-1.53,-1.45%,,105.81,105.54,0,105.67,0,104.16,0
1733155200,2024-12-03,105.94,105.81,,106.27,105.47,,-0.46,-0.43%,,106.27,106.14,0,105.51,0,104.05,0
1733068800,2024-12-02,105.44,106.27,,106.27,105.34,,+0.68,+0.64%,,105.59,106.21,0,105.29,0,103.88,0
1732809600,2024-11-29,105.29,105.59,,106.09,105.19,,-0.18,-0.17%,,105.77,106.39,0,104.95,0,103.65,0
1732723200,2024-11-28,105.94,105.77,,106.49,105.41,,-1.51,-1.41%,,107.28,106.41,0,104.62,0,103.44,0
1732636800,2024-11-27,105.83,107.28,,107.28,105.83,,+1.16,+1.09%,,106.12,105.80,0,104.27,0,103.25,0
1732550400,2024-11-26,106.43,106.12,,106.52,105.14,,-1.08,-1.01%,,107.20,104.88,0,103.77,0,103.02,0
1732464000,2024-11-25,104.87,107.20,,107.20,104.87,,+1.53,+1.45%,,105.67,104.37,0,103.46,0,102.88,0
1732204800,2024-11-22,103.59,105.67,,105.79,103.52,,+2.92,+2.84%,,102.75,103.51,0,102.98,0,102.68,0
1732118400,2024-11-21,102.46,102.75,,103.28,102.46,,+0.08,+0.08%,,102.67,102.83,0,102.75,0,102.59,0
1732032000,2024-11-20,103.18,102.67,,103.27,102.19,,-0.87,-0.84%,,103.54,102.74,0,102.65,0,102.63,0
1731945600,2024-11-19,103.16,103.54,,103.73,103.10,,+0.63,+0.61%,,102.91,102.66,0,102.58,0,102.68,0
