时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743091200,2025-03-28,222.82,221.56,,222.86,221.47,,+1.40,+0.64%,,220.16,219.71,0,219.93,0,222.48,0
1742918400,2025-03-26,219.67,220.16,,221.28,219.65,,+0.49,+0.22%,,219.67,219.15,0,219.32,0,222.98,0
1742832000,2025-03-25,218.20,219.67,,220.02,218.20,,+1.47,+0.67%,,218.20,219.24,0,219.35,0,223.41,0
1742745600,2025-03-24,218.98,218.20,,219.28,218.20,,-0.78,-0.36%,,218.98,219.73,0,219.65,0,224.00,0
1742486400,2025-03-21,218.72,218.98,,220.16,218.69,,+0.26,+0.12%,,218.72,220.07,0,220.27,0,224.70,0
1742400000,2025-03-20,220.62,218.72,,221.59,218.70,,-1.90,-0.86%,,220.62,220.15,0,220.99,0,225.28,0
1742313600,2025-03-19,222.11,220.62,,222.11,219.72,,-1.49,-0.67%,,222.11,219.50,0,221.81,0,225.90,0
1742140800,2025-03-17,219.94,222.11,,222.90,219.94,,+2.17,+0.99%,,219.94,219.45,0,222.31,0,226.47,0
1741881600,2025-03-14,219.37,219.94,,220.50,216.90,,+0.57,+0.26%,,219.37,219.57,0,222.93,0,227.00,0
1741795200,2025-03-13,215.48,219.37,,219.97,215.48,,+3.89,+1.81%,,215.48,220.48,0,223.81,0,227.69,0
1741708800,2025-03-12,220.37,215.48,,220.37,214.64,,-4.89,-2.22%,,220.37,221.83,0,225.02,0,228.43,0
1741622400,2025-03-11,222.69,220.37,,222.69,219.39,,-2.32,-1.04%,,222.69,224.12,0,226.64,0,229.44,0
1741536000,2025-03-10,224.47,222.69,,224.96,222.69,,-1.78,-0.79%,,224.47,225.17,0,227.48,0,230.12,0
1741276800,2025-03-07,226.14,224.47,,226.14,224.02,,-1.67,-0.74%,,226.14,226.29,0,228.35,0,230.69,0
1741190400,2025-03-06,226.91,226.14,,227.62,225.47,,-0.77,-0.34%,,226.91,227.15,0,229.13,0,231.12,0
1741104000,2025-03-05,225.65,226.91,,227.76,225.65,,+1.26,+0.56%,,225.65,228.22,0,229.57,0,231.41,0
1741017600,2025-03-04,228.27,225.65,,228.27,225.60,,-2.62,-1.15%,,228.27,229.17,0,229.99,0,231.58,0
1740931200,2025-03-03,228.80,228.27,,229.75,227.94,,-0.53,-0.23%,,228.80,229.80,0,230.63,0,231.74,0
1740672000,2025-02-28,231.47,228.80,,231.47,228.79,,-2.67,-1.15%,,231.47,230.41,0,231.07,0,231.79,0
1740585600,2025-02-27,231.66,231.47,,231.80,230.87,,-0.19,-0.08%,,231.66,231.12,0,231.57,0,231.79,0
1740499200,2025-02-26,228.78,231.66,,231.66,228.39,,+2.88,+1.26%,,228.78,230.93,0,231.83,0,231.69,0
1740412800,2025-02-25,231.34,228.78,,231.47,228.17,,-2.56,-1.11%,,231.34,230.82,0,232.24,0,231.70,0
1740326400,2025-02-24,232.33,231.34,,232.33,230.40,,-0.99,-0.43%,,232.33,231.46,0,232.75,0,231.88,0
1740067200,2025-02-21,230.54,232.33,,232.33,230.53,,+1.79,+0.78%,,230.54,231.73,0,233.02,0,232.01,0
1739980800,2025-02-20,231.11,230.54,,231.22,229.88,,-0.57,-0.25%,,231.11,232.03,0,233.11,0,232.04,0
1739894400,2025-02-19,232.00,231.11,,232.06,230.77,,-0.89,-0.38%,,232.00,232.73,0,233.24,0,232.11,0
1739808000,2025-02-18,232.66,232.00,,233.02,231.21,,-0.66,-0.28%,,232.66,233.66,0,233.16,0,232.11,0
1739721600,2025-02-17,233.86,232.66,,233.93,232.26,,-1.20,-0.51%,,233.86,234.04,0,232.86,0,231.97,0
1739462400,2025-02-14,234.03,233.86,,234.06,233.17,,-0.17,-0.07%,,234.03,234.31,0,232.52,0,231.85,0
1739376000,2025-02-13,235.75,234.03,,236.20,233.98,,-1.72,-0.73%,,235.75,234.19,0,232.00,0,231.78,0
1739289600,2025-02-12,233.89,235.75,,235.75,233.87,,+1.86,+0.80%,,233.89,233.74,0,231.56,0,231.76,0
1739116800,2025-02-10,234.04,233.89,,234.04,233.07,,-0.15,-0.06%,,234.04,232.66,0,231.16,0,231.77,0
1738857600,2025-02-07,233.24,234.04,,234.20,232.95,,+0.80,+0.34%,,233.24,231.68,0,231.02,0,231.85,0
