时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743030000,2025-03-27,22574.46,22663.78,,22740.47,22469.88,,-183.64,-0.80%,,22847.42,22872.73,0,23018.85,0,22892.25,0
1742943600,2025-03-26,23202.25,22847.42,,23204.59,22826.37,,-257.34,-1.11%,,23104.76,22942.60,0,23005.77,0,22885.24,0
1742857200,2025-03-25,22913.42,23104.76,,23182.78,22845.52,,+248.75,+1.09%,,22856.01,23033.44,0,22987.81,0,22882.74,0
1742770800,2025-03-24,23075.76,22856.01,,23137.48,22813.11,,-35.67,-0.16%,,22891.68,23091.14,0,22909.02,0,22847.30,0
1742511600,2025-03-21,22926.42,22891.68,,22956.98,22723.19,,-121.45,-0.53%,,23013.13,23145.95,0,22884.13,0,22825.57,0
1742425200,2025-03-20,23295.72,23013.13,,23315.49,22819.76,,-288.51,-1.24%,,23301.64,23164.97,0,22895.07,0,22794.20,0
1742338800,2025-03-19,23272.15,23301.64,,23372.08,23136.54,,-91.59,-0.39%,,23393.23,23068.94,0,22938.51,0,22760.57,0
1742252400,2025-03-18,23266.65,23393.23,,23476.01,23240.56,,+263.18,+1.14%,,23130.05,22942.17,0,22920.30,0,22717.25,0
1742166000,2025-03-17,22998.53,23130.05,,23154.13,22933.57,,+143.23,+0.62%,,22986.82,22726.89,0,22813.87,0,22690.75,0
1741906800,2025-03-14,22501.34,22986.82,,23049.48,22465.12,,+453.84,+2.01%,,22532.98,22622.31,0,22814.80,0,22674.15,0
1741820400,2025-03-13,22578.10,22532.98,,22752.83,22417.52,,-134.78,-0.59%,,22667.76,22625.16,0,22765.65,0,22648.93,0
1741734000,2025-03-12,22525.74,22667.76,,22813.84,22461.77,,+350.90,+1.57%,,22316.86,22808.08,0,22764.71,0,22652.85,0
1741647600,2025-03-11,22680.39,22316.86,,22835.10,22258.30,,-290.29,-1.28%,,22607.15,22898.43,0,22777.67,0,22626.60,0
1741561200,2025-03-10,23163.78,22607.15,,23164.24,22519.21,,-393.89,-1.71%,,23001.04,22900.84,0,22785.59,0,22612.46,0
1741302000,2025-03-07,23195.22,23001.04,,23234.28,22860.08,,-446.55,-1.90%,,23447.59,23007.29,0,22767.01,0,22578.77,0
1741215600,2025-03-06,23245.34,23447.59,,23475.88,23061.57,,+328.09,+1.42%,,23119.50,22906.14,0,22693.33,0,22516.86,0
1741129200,2025-03-05,22804.81,23119.50,,23176.39,22790.89,,+790.59,+3.54%,,22328.91,22721.34,0,22582.63,0,22440.13,0
1741042800,2025-03-04,22852.72,22328.91,,22869.92,22320.07,,-810.50,-3.50%,,23139.41,22656.92,0,22514.20,0,22361.77,0
1740956400,2025-03-03,22682.95,23139.41,,23307.97,22531.60,,+644.13,+2.86%,,22495.28,22670.34,0,22567.63,0,22320.86,0
1740697200,2025-02-28,22409.25,22495.28,,22532.67,22329.06,,-28.32,-0.13%,,22523.60,22526.73,0,22533.50,0,22234.15,0
1740610800,2025-02-27,22587.27,22523.60,,22686.41,22378.06,,-273.81,-1.20%,,22797.41,22480.53,0,22532.22,0,22194.96,0
1740524400,2025-02-26,22571.93,22797.41,,22833.25,22554.37,,+401.42,+1.79%,,22395.99,22443.92,0,22540.99,0,22155.30,0
1740438000,2025-02-25,22362.81,22395.99,,22576.12,22332.15,,-25.37,-0.11%,,22421.36,22371.47,0,22475.52,0,22096.59,0
