时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743091200,2025-03-28,23672.82,23398.94,,23775.30,23254.30,192994023062.00,-179.86,-0.76%,,23578.80,23542.17,0,23927.78,0,23800.48,0
1743004800,2025-03-27,23543.86,23578.80,,23865.62,23372.36,239640956348.00,+95.48,+0.41%,,23483.32,23600.33,0,23983.89,0,23777.60,0
1742918400,2025-03-26,23460.31,23483.32,,23596.85,23350.73,199765308311.00,+139.07,+0.60%,,23344.25,23728.56,0,23972.27,0,23784.58,0
1742832000,2025-03-25,23643.32,23344.25,,23747.32,23321.67,285268946897.00,-561.31,-2.35%,,23905.56,23986.12,0,23983.97,0,23799.81,0
1742745600,2025-03-24,23749.58,23905.56,,23967.51,23531.20,233108433882.00,+215.84,+0.91%,,23689.72,24265.39,0,24027.76,0,23784.30,0
1742486400,2025-03-21,24109.07,23689.72,,24230.72,23577.78,339092148232.00,-530.23,-2.19%,,24219.95,24313.39,0,24015.55,0,23756.10,0
1742400000,2025-03-20,24753.15,24219.95,,24753.15,24186.69,294855342961.00,-551.19,-2.23%,,24771.14,24367.44,0,24069.71,0,23745.51,0
1742313600,2025-03-19,24697.63,24771.14,,24874.39,24601.73,271859269851.00,+30.57,+0.12%,,24740.57,24215.98,0,24084.69,0,23663.36,0
1742227200,2025-03-18,24679.35,24740.57,,24745.13,24475.26,285935197053.00,+595.00,+2.46%,,24145.57,23981.82,0,23966.99,0,23572.01,0
1742140800,2025-03-17,24226.00,24145.57,,24352.47,24077.15,244822216301.00,+185.59,+0.77%,,23959.98,23790.13,0,23787.11,0,23483.83,0
1741881600,2025-03-14,23653.33,23959.98,,24113.53,23454.49,290612538761.00,+497.33,+2.12%,,23462.65,23717.71,0,23673.18,0,23407.36,0
1741795200,2025-03-13,23616.33,23462.65,,23712.61,23198.73,233832678864.00,-137.66,-0.58%,,23600.31,23771.98,0,23571.32,0,23340.38,0
1741708800,2025-03-12,23859.23,23600.31,,23962.03,23363.98,278491534604.00,-181.83,-0.76%,,23782.14,23953.39,0,23596.88,0,23257.96,0
1741622400,2025-03-11,23274.86,23782.14,,23858.61,23238.36,307033877250.00,-1.35,-0.01%,,23783.49,23952.17,0,23615.64,0,23170.84,0
1741536000,2025-03-10,24115.98,23783.49,,24292.80,23632.42,301814627203.00,-447.81,-1.85%,,24231.30,23784.10,0,23540.83,0,23046.48,0
1741276800,2025-03-07,24182.02,24231.30,,24669.62,24065.01,383166263058.00,-138.41,-0.57%,,24369.71,23628.65,0,23496.64,0,22933.40,0
1741190400,2025-03-06,23987.09,24369.71,,24410.93,23987.09,377145913204.00,+775.50,+3.29%,,23594.21,23370.66,0,23421.30,0,22778.52,0
1741104000,2025-03-05,23200.42,23594.21,,23636.65,23090.63,258689234728.00,+652.44,+2.84%,,22941.77,23240.37,0,23242.03,0,22604.61,0
1741017600,2025-03-04,22678.25,22941.77,,23051.01,22547.53,269528048806.00,-64.50,-0.28%,,23006.27,23279.12,0,23177.03,0,22454.76,0
1740931200,2025-03-03,23135.12,23006.27,,23405.98,22861.75,301897755346.00,+64.95,+0.28%,,22941.32,23297.57,0,23180.54,0,22347.16,0
1740672000,2025-02-28,23616.18,22941.32,,23616.18,22798.34,406264402217.00,-776.97,-3.28%,,23718.29,23364.63,0,23141.53,0,22207.71,0
1740585600,2025-02-27,23783.75,23718.29,,24076.53,23441.74,406464973220.00,-69.64,-0.29%,,23787.93,23471.95,0,23109.44,0,22071.90,0
1740499200,2025-02-26,23238.34,23787.93,,23973.17,23238.34,370130762434.00,+753.91,+3.27%,,23034.02,23243.69,0,22919.04,0,21895.88,0
1740412800,2025-02-25,22716.48,23034.02,,23248.52,22716.48,329551840924.00,-307.59,-1.32%,,23341.61,23074.95,0,22726.04,0,21709.79,0
1740326400,2025-02-24,23472.14,23341.61,,23688.45,23221.57,356031414790.00,-136.31,-0.58%,,23477.92,23063.51,0,22552.13,0,21543.12,0
1740067200,2025-02-21,23090.03,23477.92,,23477.92,22901.69,393597904298.00,+900.94,+3.99%,,22576.98,22918.44,0,22370.16,0,21364.98,0
1739980800,2025-02-20,22716.71,22576.98,,22849.66,22436.13,283942943254.00,-367.26,-1.60%,,22944.24,22746.92,0,22135.73,0,21196.41,0
1739894400,2025-02-19,22777.46,22944.24,,22975.34,22649.49,262566535084.00,-32.57,-0.14%,,22976.81,22594.40,0,21967.19,0,21063.85,0
1739808000,2025-02-18,22664.73,22976.81,,23141.41,22608.18,338625559620.00,+360.58,+1.59%,,22616.23,22377.13,0,21732.47,0,20895.84,0
1739721600,2025-02-17,22755.06,22616.23,,22977.25,22319.32,400236814557.00,-4.10,-0.02%,,22620.33,22040.74,0,21513.79,0,20723.14,0
1739462400,2025-02-14,22027.07,22620.33,,22620.33,22027.07,364600824857.00,+805.96,+3.69%,,21814.37,21821.89,0,21273.89,0,20556.64,0
1739376000,2025-02-13,21958.69,21814.37,,22523.57,21735.56,379448359973.00,-43.55,-0.20%,,21857.92,21524.53,0,21034.37,0,20386.61,0
1739289600,2025-02-12,21526.41,21857.92,,21858.83,21411.09,287162739563.00,+563.06,+2.64%,,21294.86,21339.98,0,20872.71,0,20239.60,0
1739203200,2025-02-11,21656.82,21294.86,,21682.41,21279.37,219611840288.00,-227.12,-1.06%,,21521.98,21087.82,0,20693.54,0,20099.92,0
1739116800,2025-02-10,21223.61,21521.98,,21539.63,21223.61,242493022204.00,+388.44,+1.84%,,21133.54,20986.84,0,20534.11,0,19997.22,0
1738857600,2025-02-07,20858.52,21133.54,,21213.70,20806.10,246372801501.00,+241.92,+1.16%,,20891.62,20725.89,0,20359.79,0,19885.11,0
1738771200,2025-02-06,20598.98,20891.62,,20891.62,20532.06,178446570705.00,+294.53,+1.43%,,20597.09,20544.21,0,20257.09,0,19800.81,0
1738684800,2025-02-05,20827.77,20597.09,,20827.77,20417.39,192210824070.00,-192.87,-0.93%,,20789.96,20405.44,0,20160.51,0,19740.65,0
1738598400,2025-02-04,20488.29,20789.96,,20885.49,20297.64,161875202078.00,+572.70,+2.83%,,20217.26,20299.26,0,20059.20,0,19698.80,0
1738512000,2025-02-03,20048.87,20217.26,,20222.00,19764.67,124955912013.00,-7.85,-0.04%,,20225.11,20081.38,0,19932.50,0,19640.47,0
1737993600,2025-01-28,20337.46,20225.11,,20337.46,20165.73,51663425649.00,+27.34,+0.14%,,20197.77,19993.68,0,19839.38,0,19632.61,0
1737907200,2025-01-27,20118.02,20197.77,,20296.94,20118.02,147331519918.00,+131.58,+0.66%,,20066.19,19969.97,0,19738.84,0,19623.42,0
1737648000,2025-01-24,19842.85,20066.19,,20144.00,19768.13,159808302072.00,+365.63,+1.86%,,19700.56,19915.58,0,19606.48,0,19618.06,0
1737561600,2025-01-23,19881.32,19700.56,,20044.06,19644.83,148514913145.00,-78.21,-0.40%,,19778.77,19819.15,0,19506.29,0,19619.66,0
1737475200,2025-01-22,19997.09,19778.77,,20022.34,19733.21,135317226306.00,-327.78,-1.63%,,20106.55,19783.62,0,19460.32,0,19628.79,0
1737388800,2025-01-21,20128.34,20106.55,,20205.25,19920.31,147984651709.00,+180.74,+0.91%,,19925.81,19685.08,0,19410.43,0,19625.89,0
1737302400,2025-01-20,19804.64,19925.81,,20093.65,19786.73,161375825761.00,+341.75,+1.75%,,19584.06,19507.72,0,19344.53,0,19608.18,0
1737043200,2025-01-17,19499.10,19584.06,,19640.37,19423.70,122271550679.00,+61.17,+0.31%,,19522.89,19297.39,0,19320.78,0,19605.12,0
1736956800,2025-01-16,19454.92,19522.89,,19664.39,19345.19,142307175110.00,+236.82,+1.23%,,19286.07,19193.43,0,19338.40,0,19610.94,0
1736870400,2025-01-15,19149.94,19286.07,,19319.22,19149.94,128526249798.00,+66.29,+0.34%,,19219.78,19137.03,0,19348.45,0,19624.57,0
1736784000,2025-01-14,18901.56,19219.78,,19318.36,18901.56,157687048371.00,+345.64,+1.83%,,18874.14,19135.79,0,19425.83,0,19658.83,0
1736697600,2025-01-13,18918.15,18874.14,,18929.12,18671.49,134046668229.00,-190.15,-1.00%,,19064.29,19181.35,0,19508.00,0,19717.69,0
1736438400,2025-01-10,19328.07,19064.29,,19370.49,19036.64,144698348403.00,-176.60,-0.92%,,19240.89,19344.18,0,19629.63,0,19781.74,0
1736352000,2025-01-09,19254.38,19240.89,,19405.74,19227.73,129068770723.00,-38.95,-0.20%,,19279.84,19483.37,0,19733.03,0,19844.09,0
1736265600,2025-01-08,19390.76,19279.84,,19483.59,19111.54,168397054113.00,-167.74,-0.86%,,19447.58,19559.86,0,19797.25,0,19902.75,0
1736179200,2025-01-07,19501.45,19447.58,,19668.65,19252.61,205717696865.00,-240.71,-1.22%,,19688.29,19715.88,0,19841.34,0,19932.05,0
1736092800,2025-01-06,19848.71,19688.29,,19851.55,19627.84,121635244572.00,-71.98,-0.36%,,19760.27,19834.65,0,19871.83,0,19937.69,0
