时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743030000,2025-03-27,38700.79,39098.86,,39191.36,38432.51,,+40.76,+0.10%,,39058.10,39110.09,0,39166.27,0,38762.31,0
1742943600,2025-03-26,39560.84,39058.10,,39604.21,39025.52,,-326.85,-0.83%,,39384.95,39127.95,0,39056.35,0,38738.51,0
1742857200,2025-03-25,39089.56,39384.95,,39498.66,39083.80,,+412.14,+1.06%,,38972.81,39258.86,0,38981.26,0,38746.84,0
1742770800,2025-03-24,39261.54,38972.81,,39368.45,38881.06,,-62.90,-0.16%,,39035.71,39288.61,0,38812.59,0,38713.32,0
1742511600,2025-03-21,38975.36,39035.71,,39232.29,38862.42,,-152.46,-0.39%,,39188.17,39298.53,0,38737.89,0,38688.30,0
1742425200,2025-03-20,39775.46,39188.17,,39825.91,38946.47,,-524.49,-1.32%,,39712.66,39222.45,0,38693.60,0,38657.57,0
1742338800,2025-03-19,39417.56,39712.66,,39752.78,39375.11,,+178.95,+0.45%,,39533.71,38984.76,0,38652.75,0,38610.61,0
1742252400,2025-03-18,39183.56,39533.71,,39569.03,39154.14,,+511.31,+1.31%,,39022.40,38703.65,0,38533.43,0,38542.39,0
1742166000,2025-03-17,38691.12,39022.40,,39063.41,38591.55,,+367.10,+0.95%,,38655.30,38336.57,0,38353.67,0,38493.41,0
1741906800,2025-03-14,37955.01,38655.30,,38661.35,37783.81,,+655.57,+1.73%,,37999.73,38177.25,0,38358.37,0,38458.68,0
1741820400,2025-03-13,38111.75,37999.73,,38385.22,37857.84,,-307.38,-0.80%,,38307.11,38164.76,0,38358.35,0,38424.79,0
1741734000,2025-03-12,38011.49,38307.11,,38379.86,37961.27,,+608.80,+1.61%,,37698.31,38320.74,0,38420.66,0,38420.21,0
1741647600,2025-03-11,38344.82,37698.31,,38381.13,37532.96,,-527.51,-1.38%,,38225.82,38363.20,0,38512.42,0,38381.41,0
1741561200,2025-03-10,38817.35,38225.82,,38884.46,38085.51,,-366.99,-0.95%,,38592.81,38370.77,0,38614.04,0,38375.60,0
1741302000,2025-03-07,38571.68,38592.81,,38802.33,38321.96,,-186.86,-0.48%,,38779.67,38539.49,0,38638.72,0,38326.42,0
1741215600,2025-03-06,38817.96,38779.67,,38930.99,38359.48,,+260.27,+0.68%,,38519.40,38551.94,0,38621.54,0,38249.56,0
1741129200,2025-03-05,38256.36,38519.40,,38762.14,38149.73,,+783.24,+2.08%,,37736.16,38520.58,0,38568.48,0,38166.67,0
1741042800,2025-03-04,38708.36,37736.16,,38813.92,37558.40,,-1333.24,-3.41%,,39069.40,38661.64,0,38551.35,0,38069.77,0
1740956400,2025-03-03,38644.20,39069.40,,39247.52,38403.69,,+414.31,+1.07%,,38655.09,38857.31,0,38633.15,0,38018.93,0
1740697200,2025-02-28,38415.19,38655.09,,38691.28,38323.82,,+32.25,+0.08%,,38622.84,38737.94,0,38558.98,0,37876.41,0
1740610800,2025-02-27,39043.93,38622.84,,39046.02,38379.55,,-601.87,-1.53%,,39224.71,38691.14,0,38491.23,0,37767.24,0
1740524400,2025-02-26,38825.64,39224.71,,39251.82,38798.41,,+510.19,+1.32%,,38714.52,38616.37,0,38419.75,0,37657.58,0
1740438000,2025-02-25,38323.34,38714.52,,38909.95,38303.20,,+241.96,+0.63%,,38472.56,38441.06,0,38250.40,0,37514.93,0
1740351600,2025-02-24,38432.53,38472.56,,38594.07,38155.46,,+51.51,+0.13%,,38421.05,38408.99,0,38137.16,0,37386.56,0
1740092400,2025-02-21,38405.06,38421.05,,38492.26,38284.55,,+172.02,+0.45%,,38249.03,38380.02,0,38014.12,0,37272.49,0
1740006000,2025-02-20,38404.65,38249.03,,38531.73,38179.30,,-99.13,-0.26%,,38348.16,38291.33,0,37877.58,0,37161.47,0
1739919600,2025-02-19,38665.74,38348.16,,38882.95,38320.27,,-205.99,-0.53%,,38554.15,38223.13,0,37764.85,0,37054.66,0
1739833200,2025-02-18,38466.65,38554.15,,38580.51,38418.34,,+226.43,+0.59%,,38327.72,38059.74,0,37588.19,0,36929.96,0
1739746800,2025-02-17,37998.32,38327.72,,38422.78,37997.13,,+350.13,+0.92%,,37977.59,37865.32,0,37404.71,0,36805.21,0
1739487600,2025-02-14,37878.93,37977.59,,38152.37,37835.64,,+69.54,+0.18%,,37908.05,37648.21,0,37193.83,0,36696.02,0
1739401200,2025-02-13,37769.92,37908.05,,37908.05,37547.40,,+376.86,+1.00%,,37531.19,37463.83,0,37043.25,0,36610.52,0
1739314800,2025-02-12,37738.54,37531.19,,37803.48,37519.16,,-50.86,-0.14%,,37582.05,37306.58,0,36895.42,0,36506.11,0
1739228400,2025-02-11,37302.84,37582.05,,37584.85,37133.36,,+339.88,+0.91%,,37242.17,37116.63,0,36779.46,0,36411.89,0
1739142000,2025-02-10,37121.50,37242.17,,37260.11,37076.57,,+186.47,+0.50%,,37055.70,36944.09,0,36635.96,0,36289.02,0
1738882800,2025-02-07,37123.31,37055.70,,37181.94,36971.12,,-66.07,-0.18%,,37121.77,36739.46,0,36530.87,0,36166.88,0
1738796400,2025-02-06,36709.22,37121.77,,37121.77,36654.79,,+540.29,+1.48%,,36581.48,36622.67,0,36445.37,0,36068.60,0
1738710000,2025-02-05,36597.09,36581.48,,36600.48,36407.58,,-137.87,-0.38%,,36719.35,36484.26,0,36344.47,0,35978.29,0
1738623600,2025-02-04,36341.51,36719.35,,36720.36,35914.10,,+500.37,+1.38%,,36218.98,36442.29,0,36271.73,0,35904.65,0
1738537200,2025-02-03,35928.85,36218.98,,36303.14,35816.01,,-252.77,-0.69%,,36471.75,36327.84,0,36205.72,0,35815.63,0
1738278000,2025-01-31,36552.32,36471.75,,36628.29,36378.17,,+42.03,+0.12%,,36429.72,36322.27,0,36198.20,0,35743.72,0
1738191600,2025-01-30,36464.71,36429.72,,36475.47,36297.52,,+58.05,+0.16%,,36371.67,36268.07,0,36177.79,0,35626.51,0
1738105200,2025-01-29,36294.88,36371.67,,36409.53,36162.85,,+224.61,+0.62%,,36147.06,36204.69,0,36116.79,0,35523.77,0
1738018800,2025-01-28,36254.68,36147.06,,36500.97,36121.60,,-44.11,-0.12%,,36191.17,36101.17,0,36044.32,0,35414.49,0
1737932400,2025-01-27,36109.71,36191.17,,36337.29,35897.88,,-9.55,-0.03%,,36200.72,36083.59,0,35942.08,0,35316.45,0
1737673200,2025-01-24,36300.03,36200.72,,36472.55,36119.07,,+87.88,+0.24%,,36112.84,36074.13,0,35802.89,0,35216.20,0
1737586800,2025-01-23,35854.09,36112.84,,36124.30,35789.02,,+258.77,+0.72%,,35854.07,36087.51,0,35691.84,0,35114.21,0
1737500400,2025-01-22,36098.74,35854.07,,36222.68,35821.18,,-205.10,-0.57%,,36059.17,36028.90,0,35612.11,0,34995.56,0
1737414000,2025-01-21,36082.06,36059.17,,36138.63,35922.44,,-84.66,-0.23%,,36143.83,35987.48,0,35537.57,0,34889.86,0
1737327600,2025-01-20,36242.67,36143.83,,36351.15,36074.56,,-123.80,-0.34%,,36267.63,35800.56,0,35425.54,0,34775.21,0
1737068400,2025-01-17,35941.39,36267.63,,36314.18,35929.99,,+447.84,+1.25%,,35819.79,35531.65,0,35289.24,0,34657.37,0
1736982000,2025-01-16,35889.69,35819.79,,36011.16,35767.95,,+172.83,+0.48%,,35646.96,35296.17,0,35075.24,0,34564.04,0
1736895600,2025-01-15,35232.03,35646.96,,35701.45,35176.70,,+522.37,+1.49%,,35124.59,35195.31,0,34930.74,0,34488.81,0
1736809200,2025-01-14,35023.87,35124.59,,35218.82,34981.38,,+325.32,+0.93%,,34799.27,35087.67,0,34784.66,0,34443.48,0
1736722800,2025-01-13,34968.71,34799.27,,35005.05,34619.53,,-290.96,-0.83%,,35090.23,35050.53,0,34690.82,0,34431.69,0
1736463600,2025-01-10,35375.22,35090.23,,35433.29,35090.23,,-225.28,-0.64%,,35315.51,35046.84,0,34629.51,0,34434.59,0
1736377200,2025-01-09,34960.65,35315.51,,35390.78,34854.63,,+206.77,+0.59%,,35108.74,34854.32,0,34536.59,0,34416.64,0
1736290800,2025-01-08,34940.46,35108.74,,35268.26,34843.04,,+169.84,+0.49%,,34938.90,34666.17,0,34379.02,0,34377.10,0
1736204400,2025-01-07,34723.86,34938.90,,34952.25,34356.31,,+158.09,+0.45%,,34780.81,34481.66,0,34242.14,0,34349.66,0
1736118000,2025-01-06,34257.18,34780.81,,34781.53,34167.01,,+653.19,+1.91%,,34127.62,34331.11,0,34124.88,0,34340.19,0
1735858800,2025-01-03,34372.27,34127.62,,34377.11,34052.29,,-247.15,-0.72%,,34374.77,34212.19,0,34025.50,0,34332.46,0
1735772400,2025-01-02,34348.16,34374.77,,34456.18,33780.24,,+188.59,+0.55%,,34186.18,34218.86,0,34052.84,0,34330.28,0
1735686000,2025-01-01,34062.02,34186.18,,34339.73,33966.30,,0.00,0.00%,,34186.18,34091.88,0,34046.88,0,34303.00,0
1735599600,2024-12-31,34062.02,34186.18,,34339.73,33966.30,,0.00,0.00%,,34186.18,34002.63,0,34102.29,0,34267.85,0
1735513200,2024-12-30,34062.02,34186.18,,34339.73,33966.30,,+25.21,+0.07%,,34160.97,33918.65,0,34172.55,0,34229.27,0
1735254000,2024-12-27,33821.18,34160.97,,34160.97,33623.67,,+421.07,+1.25%,,33739.90,33838.81,0,34239.67,0,34182.97,0
1735081200,2024-12-25,33648.38,33739.90,,33849.64,33541.40,,0.00,0.00%,,33739.90,33886.81,0,34296.70,0,34129.41,0
1734908400,2024-12-23,33648.38,33739.90,,33849.64,33541.40,,-26.39,-0.08%,,33766.29,34001.88,0,34375.18,0,34100.80,0
1734649200,2024-12-20,33519.24,33766.29,,33792.62,33266.92,,-20.71,-0.06%,,33787.00,34201.95,0,34457.18,0,34085.19,0
1734562800,2024-12-19,34026.24,33787.00,,34170.28,33708.16,,-613.99,-1.78%,,34400.99,34426.45,0,34555.50,0,34071.61,0
1734476400,2024-12-18,34318.44,34400.99,,34505.14,34210.01,,+85.75,+0.25%,,34315.24,34640.53,0,34639.43,0,34047.01,0
