时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743087600,2025-03-28,37357.52,37120.33,,37359.95,36864.93,,-679.64,-1.80%,,37799.97,37667.32,0,37606.06,0,37388.68,0
1743001200,2025-03-27,37750.66,37799.97,,37859.06,37556.75,,-227.32,-0.60%,,38027.29,37778.67,0,37573.03,0,37445.47,0
1742914800,2025-03-26,38106.66,38027.29,,38220.69,37873.28,,+246.75,+0.65%,,37780.54,37769.05,0,37474.94,0,37462.59,0
1742828400,2025-03-25,37953.15,37780.54,,38115.65,37686.26,,+172.05,+0.46%,,37608.49,37732.68,0,37351.52,0,37473.12,0
1742742000,2025-03-24,37841.68,37608.49,,37841.68,37608.49,,-68.57,-0.18%,,37677.06,37655.87,0,37276.30,0,37522.94,0
1742482800,2025-03-21,37619.37,37677.06,,37968.02,37619.37,,-74.82,-0.20%,,37751.88,37544.80,0,37204.17,0,37576.41,0
1742310000,2025-03-19,37839.39,37751.88,,38128.58,37751.88,,-93.54,-0.25%,,37845.42,37367.39,0,37206.95,0,37650.79,0
1742223600,2025-03-18,37868.57,37845.42,,38004.20,37822.87,,+448.90,+1.20%,,37396.52,37180.83,0,37173.59,0,37726.72,0
1742137200,2025-03-17,37453.83,37396.52,,37563.27,37377.55,,+343.42,+0.93%,,37053.10,36970.37,0,37122.16,0,37793.16,0
1741878000,2025-03-14,36606.78,37053.10,,37154.39,36594.04,,+263.07,+0.72%,,36790.03,36896.72,0,37161.06,0,37880.80,0
1741791600,2025-03-13,37081.64,36790.03,,37326.27,36776.94,,-29.06,-0.08%,,36819.09,36863.53,0,37171.30,0,38001.22,0
1741705200,2025-03-12,36763.10,36819.09,,36956.33,36658.86,,+25.98,+0.07%,,36793.11,37046.51,0,37317.91,0,38109.91,0
1741618800,2025-03-11,36584.37,36793.11,,36793.11,35987.13,,-235.16,-0.64%,,37028.27,37166.34,0,37450.24,0,38209.01,0
1741532400,2025-03-10,36972.59,37028.27,,37113.48,36705.02,,+141.10,+0.38%,,36887.17,37273.96,0,37594.71,0,38308.71,0
1741273200,2025-03-07,37198.30,36887.17,,37221.65,36813.62,,-817.76,-2.17%,,37704.93,37425.40,0,37769.58,0,38410.62,0
1741186800,2025-03-06,37654.95,37704.93,,37874.38,37580.88,,+286.69,+0.77%,,37418.24,37479.06,0,37948.66,0,38507.83,0
1741100400,2025-03-05,37345.74,37418.24,,37606.34,37178.72,,+87.06,+0.23%,,37331.18,37589.31,0,38094.63,0,38562.51,0
1741014000,2025-03-04,37532.01,37331.18,,37587.49,36816.16,,-454.29,-1.20%,,37785.47,37734.14,0,38279.85,0,38617.60,0
1740927600,2025-03-03,37617.50,37785.47,,37827.62,37372.26,,+629.97,+1.70%,,37155.50,37915.46,0,38464.15,0,38729.66,0
1740668400,2025-02-28,37853.48,37155.50,,37925.28,36840.12,,-1100.67,-2.88%,,38256.17,38113.75,0,38600.55,0,38816.09,0
1740582000,2025-02-27,38251.11,38256.17,,38369.96,38061.94,,+113.80,+0.30%,,38142.37,38418.26,0,38831.15,0,38929.05,0
1740495600,2025-02-26,38143.68,38142.37,,38175.24,37742.76,,-95.42,-0.25%,,38237.79,38599.95,0,38901.90,0,38967.09,0
1740409200,2025-02-25,38359.67,38237.79,,38485.95,38131.79,,-539.15,-1.39%,,38776.94,38825.56,0,38967.78,0,39038.26,0
1740063600,2025-02-21,38523.07,38776.94,,38808.81,38456.53,,+98.90,+0.26%,,38678.04,39012.85,0,39022.70,0,39122.97,0
1739977200,2025-02-20,38942.91,38678.04,,38967.01,38468.72,,-486.57,-1.24%,,39164.61,39087.35,0,39051.66,0,39182.07,0
1739890800,2025-02-19,39230.62,39164.61,,39298.05,38994.70,,-105.79,-0.27%,,39270.40,39244.03,0,39067.01,0,39230.48,0
1739804400,2025-02-18,39187.99,39270.40,,39508.55,39151.71,,+96.15,+0.25%,,39174.25,39203.85,0,39030.38,0,39223.65,0
1739718000,2025-02-17,39094.09,39174.25,,39238.75,39021.23,,+24.82,+0.06%,,39149.43,39110.00,0,38955.35,0,39205.25,0
1739458800,2025-02-14,39419.25,39149.43,,39543.93,39133.94,,-312.04,-0.79%,,39461.47,39032.56,0,38995.18,0,39169.11,0
1739372400,2025-02-13,39235.77,39461.47,,39581.47,39112.17,,+497.77,+1.28%,,38963.70,39015.98,0,39031.63,0,39140.27,0
1739286000,2025-02-12,39049.29,38963.70,,39102.65,38794.24,,+162.53,+0.42%,,38801.17,38889.98,0,39026.96,0,39089.42,0
1739113200,2025-02-10,38736.37,38801.17,,38895.74,38606.32,,+14.15,+0.04%,,38787.02,38856.91,0,39032.28,0,39064.95,0
1738854000,2025-02-07,38907.76,38787.02,,39007.94,38753.20,,-279.51,-0.72%,,39066.53,38800.70,0,39108.74,0,39084.42,0
1738767600,2025-02-06,38977.58,39066.53,,39190.13,38851.51,,+235.05,+0.61%,,38831.48,38957.79,0,39223.24,0,39125.32,0
1738681200,2025-02-05,38979.21,38831.48,,39118.95,38682.18,,+33.11,+0.09%,,38798.37,39047.28,0,39312.47,0,39171.05,0
1738594800,2025-02-04,39078.66,38798.37,,39192.51,38590.96,,+278.28,+0.72%,,38520.09,39163.94,0,39393.95,0,39233.64,0
1738508400,2025-02-03,38932.66,38520.09,,38948.61,38401.82,,-1052.40,-2.66%,,39572.49,39207.64,0,39416.91,0,39259.07,0
1738249200,2025-01-31,39574.38,39572.49,,39681.82,39458.95,,+58.52,+0.15%,,39513.97,39416.78,0,39455.15,0,39327.79,0
1738162800,2025-01-30,39302.85,39513.97,,39600.93,39221.36,,+99.19,+0.25%,,39414.78,39488.68,0,39343.05,0,39363.23,0
1738076400,2025-01-29,39273.80,39414.78,,39448.24,39129.14,,+397.91,+1.02%,,39016.87,39577.66,0,39248.91,0,39365.93,0
1737990000,2025-01-28,39400.02,39016.87,,39448.55,38886.05,,-548.93,-1.39%,,39565.80,39623.95,0,39151.89,0,39351.71,0
1737903600,2025-01-27,40127.74,39565.80,,40255.68,39520.79,,-366.18,-0.92%,,39931.98,39626.18,0,39097.63,0,39352.71,0
1737644400,2025-01-24,40060.49,39931.98,,40279.79,39806.69,,-26.89,-0.07%,,39958.87,39493.52,0,39060.09,0,39332.49,0
1737558000,2025-01-23,39810.06,39958.87,,40036.07,39677.22,,+312.62,+0.79%,,39646.25,39197.41,0,39027.40,0,39270.99,0
1737471600,2025-01-22,39355.22,39646.25,,39694.57,39332.63,,+618.27,+1.58%,,39027.98,38920.16,0,39029.62,0,39213.72,0
1737385200,2025-01-21,39163.53,39027.98,,39238.21,38643.84,,+125.48,+0.32%,,38902.50,38679.82,0,39073.33,0,39185.49,0
1737298800,2025-01-20,38671.77,38902.50,,39032.93,38671.77,,+451.04,+1.17%,,38451.46,38569.09,0,39101.23,0,39202.33,0
1737039600,2025-01-17,38454.10,38451.46,,38503.94,38055.68,,-121.14,-0.31%,,38572.60,38626.67,0,39200.44,0,39230.08,0
1736953200,2025-01-16,38732.65,38572.60,,38932.54,38426.20,,+128.02,+0.33%,,38444.58,38857.39,0,39383.41,0,39281.03,0
1736866800,2025-01-15,38721.61,38444.58,,38774.99,38316.01,,-29.72,-0.08%,,38474.30,39139.09,0,39482.95,0,39344.85,0
1736780400,2025-01-14,39010.96,38474.30,,39054.35,38305.91,,-716.10,-1.83%,,39190.40,39466.83,0,39551.54,0,39391.24,0
1736434800,2025-01-10,39550.25,39190.40,,39591.46,39166.05,,-414.69,-1.05%,,39605.09,39633.38,0,39607.79,0,39435.90,0
1736348400,2025-01-09,39888.91,39605.09,,39930.07,39385.05,,-375.97,-0.94%,,39981.06,39774.21,0,39604.89,0,39434.41,0
1736262000,2025-01-08,39879.36,39981.06,,40105.72,39705.81,,-102.24,-0.26%,,40083.30,39909.42,0,39514.57,0,39408.71,0
1736175600,2025-01-07,39584.36,40083.30,,40288.80,39584.36,,+776.25,+1.97%,,39307.05,39826.82,0,39397.82,0,39379.44,0
1736089200,2025-01-06,39871.15,39307.05,,39993.50,39232.78,,-587.49,-1.47%,,39894.54,39636.25,0,39297.66,0,39339.09,0
1735484400,2024-12-30,40304.55,39894.54,,40304.55,39864.46,,-386.62,-0.96%,,40281.16,39582.21,0,39303.42,0,39336.18,0
1735225200,2024-12-27,39672.15,40281.16,,40398.23,39669.39,,+713.10,+1.80%,,39568.06,39435.57,0,39259.72,0,39267.11,0
1735138800,2024-12-26,39129.31,39568.06,,39592.28,39110.92,,+437.63,+1.12%,,39130.43,39119.72,0,39178.65,0,39163.45,0
1735052400,2024-12-25,39168.52,39130.43,,39180.59,38927.16,,+93.58,+0.24%,,39036.85,38968.82,0,39206.76,0,39102.50,0
1734966000,2024-12-24,39210.23,39036.85,,39245.75,38995.76,,-124.49,-0.32%,,39161.34,38959.08,0,39230.94,0,39052.73,0
1734879600,2024-12-23,39040.72,39161.34,,39210.17,38847.13,,+459.44,+1.19%,,38701.90,39024.64,0,39264.01,0,39022.98,0
1734620400,2024-12-20,38950.28,38701.90,,39039.68,38701.90,,-111.68,-0.29%,,38813.58,39083.87,0,39263.92,0,39003.92,0
1734534000,2024-12-19,38522.27,38813.58,,38913.07,38355.52,,-268.13,-0.69%,,39081.71,39237.58,0,39302.85,0,38983.02,0
1734447600,2024-12-18,39176.88,39081.71,,39382.69,39081.71,,-282.97,-0.72%,,39364.68,39444.69,0,39361.05,0,38943.65,0
1734361200,2024-12-17,39589.65,39364.68,,39796.22,39364.68,,-92.81,-0.24%,,39457.49,39502.80,0,39380.52,0,38907.18,0
1734274800,2024-12-16,39551.22,39457.49,,39632.17,39371.42,,-12.95,-0.03%,,39470.44,39503.38,0,39368.94,0,38859.67,0
1734015600,2024-12-13,39624.05,39470.44,,39734.99,39247.41,,-378.70,-0.95%,,39849.14,39443.98,0,39274.49,0,38797.84,0
1733929200,2024-12-12,39849.97,39849.14,,40091.55,39827.59,,+476.91,+1.21%,,39372.23,39368.12,0,39148.25,0,38756.46,0
1733842800,2024-12-11,39357.77,39372.23,,39401.93,39112.80,,+4.65,+0.01%,,39367.58,39277.42,0,38998.24,0,38690.79,0
1733756400,2024-12-10,39375.49,39367.58,,39465.14,39171.69,,+207.08,+0.53%,,39160.50,39258.25,0,38874.52,0,38658.26,0
1733670000,2024-12-09,39332.55,39160.50,,39332.55,38972.78,,+69.33,+0.18%,,39091.17,39234.50,0,38781.96,0,38658.69,0
