时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743048000,2025-03-27,5695.64,5693.31,2824605380,5732.28,5670.94,,-18.89,-0.33%,,5712.20,5723.46,3574812170,5688.42,3262899675,5706.27,3532063889
1742961600,2025-03-26,5771.66,5712.20,2865457257,5783.62,5694.41,,-64.45,-1.12%,,5776.65,5717.37,3578140938,5671.24,3312787658,5714.68,3557430712
1742875200,2025-03-25,5775.96,5776.65,2675650367,5786.95,5760.42,,+9.08,+0.16%,,5767.57,5709.99,3609433368,5659.95,3371328108,5726.87,3562388360
1742788800,2025-03-24,5718.08,5767.57,3039851911,5775.14,5718.08,,+100.01,+1.76%,,5667.56,5677.59,3653471427,5639.49,3515045316,5735.80,3602865171
1742529600,2025-03-21,5630.73,5667.56,6468495934,5670.84,5603.10,,+4.67,+0.08%,,5662.89,5659.10,3642292565,5624.19,3644437839,5746.59,3614994790
1742443200,2025-03-20,5646.92,5662.89,2841249219,5711.15,5632.33,,-12.40,-0.22%,,5675.29,5653.38,2950987179,5634.45,3393562562,5763.87,3460896459
1742356800,2025-03-19,5632.37,5675.29,3021919411,5715.33,5622.20,,+60.63,+1.08%,,5614.66,5625.11,3047434377,5642.02,3443415716,5786.60,3466711935
1742270400,2025-03-18,5654.53,5614.66,2895840659,5654.53,5597.76,,-60.46,-1.07%,,5675.12,5609.91,3133222848,5658.75,3473776926,5810.04,3467784231
1742184000,2025-03-17,5635.60,5675.12,2983957601,5703.52,5631.12,,+36.18,+0.64%,,5638.94,5601.39,3376619206,5675.10,3608851449,5835.79,3486011208
1741924800,2025-03-14,5563.85,5638.94,3011969007,5645.27,5563.85,,+117.42,+2.13%,,5521.52,5589.28,3646583113,5692.56,3670755731,5857.76,3476869392
1741838400,2025-03-13,5594.45,5521.52,3323485209,5597.78,5504.65,,-77.78,-1.39%,,5599.30,5615.53,3836137945,5724.12,3801228103,5881.57,3473750664
1741752000,2025-03-12,5624.84,5599.30,3450861763,5642.19,5546.09,,+27.23,+0.49%,,5572.07,5658.93,3839397055,5758.12,3802073766,5908.09,3451484760
1741665600,2025-03-11,5603.65,5572.07,4112822451,5636.30,5528.41,,-42.49,-0.76%,,5614.56,5707.60,3814331005,5793.80,3753448612,5931.55,3416361473
1741579200,2025-03-10,5705.37,5614.56,4333777137,5705.37,5564.02,,-155.64,-2.70%,,5770.20,5748.81,3841083692,5832.12,3690685025,5956.27,3347900658
1741323600,2025-03-07,5726.01,5770.20,3959743165,5783.01,5666.29,,+31.68,+0.55%,,5738.52,5795.84,3694928348,5868.98,3585551742,5976.84,3278240313
1741237200,2025-03-06,5785.87,5738.52,3339780761,5812.08,5711.64,,-104.11,-1.78%,,5842.63,5832.70,3766318260,5893.28,3528230356,5992.51,3234492928
1741150800,2025-03-05,5781.36,5842.63,3325531511,5860.59,5742.35,,+64.48,+1.12%,,5778.15,5857.31,3764750476,5931.18,3490008154,6008.66,3224890022
