时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743094800,2025-03-28,1178.84,1181.93,,1185.18,1175.48,,-5.97,-0.50%,,1187.90,1187.04,0,1183.95,0,1183.13,0
1743008400,2025-03-27,1189.03,1187.90,,1193.96,1185.20,,-2.46,-0.21%,,1190.36,1187.97,0,1183.14,0,1184.22,0
1742922000,2025-03-26,1191.08,1190.36,,1194.65,1186.41,,+5.43,+0.46%,,1184.93,1186.73,0,1180.31,0,1185.61,0
1742835600,2025-03-25,1189.39,1184.93,,1191.01,1181.13,,-5.13,-0.43%,,1190.06,1186.59,0,1177.28,0,1187.65,0
1742749200,2025-03-24,1187.60,1190.06,,1192.59,1182.60,,+3.45,+0.29%,,1186.61,1184.84,0,1177.55,0,1188.73,0
1742490000,2025-03-21,1190.09,1186.61,,1190.62,1180.49,,+4.90,+0.41%,,1181.71,1180.87,0,1176.29,0,1191.01,0
1742403600,2025-03-20,1194.04,1181.71,,1200.09,1181.71,,-7.95,-0.67%,,1189.66,1178.30,0,1177.83,0,1193.99,0
1742317200,2025-03-19,1175.44,1189.66,,1195.56,1174.62,,+13.49,+1.15%,,1176.17,1173.89,0,1178.61,0,1197.19,0
1742230800,2025-03-18,1177.88,1176.17,,1181.31,1165.99,,+5.97,+0.51%,,1170.20,1167.97,0,1180.34,0,1200.82,0
1742144400,2025-03-17,1177.27,1170.20,,1178.51,1165.46,,-3.56,-0.30%,,1173.76,1170.26,0,1180.49,0,1204.89,0
1741885200,2025-03-14,1161.21,1173.76,,1176.92,1160.13,,+14.12,+1.22%,,1159.64,1171.71,0,1182.31,0,1209.20,0
1741798800,2025-03-13,1164.69,1159.64,,1168.73,1157.96,,-0.42,-0.04%,,1160.06,1177.36,0,1185.31,0,1214.06,0
1741712400,2025-03-12,1183.29,1160.06,,1186.57,1158.17,,-27.57,-2.32%,,1187.63,1183.34,0,1190.92,0,1220.29,0
1741626000,2025-03-11,1165.83,1187.63,,1189.40,1160.99,,+10.19,+0.87%,,1177.44,1192.72,0,1198.02,0,1226.48,0
1741539600,2025-03-10,1194.92,1177.44,,1196.52,1177.44,,-24.59,-2.05%,,1202.03,1190.72,0,1199.90,0,1230.63,0
1741280400,2025-03-07,1191.49,1202.03,,1202.03,1186.93,,+12.48,+1.05%,,1189.55,1192.92,0,1205.74,0,1235.86,0
1741194000,2025-03-06,1204.93,1189.55,,1207.04,1186.91,,-17.41,-1.44%,,1206.96,1193.26,0,1210.16,0,1238.86,0
1741107600,2025-03-05,1185.89,1206.96,,1208.76,1183.21,,+29.32,+2.49%,,1177.64,1198.49,0,1215.77,0,1243.72,0
1741021200,2025-03-04,1188.76,1177.64,,1195.66,1173.13,,-10.77,-0.91%,,1188.41,1203.33,0,1221.30,0,1248.42,0
1740934800,2025-03-03,1209.86,1188.41,,1211.21,1185.73,,-15.31,-1.27%,,1203.72,1209.08,0,1229.28,0,1254.76,0
1740675600,2025-02-28,1193.66,1203.72,,1206.58,1186.36,,-12.01,-0.99%,,1215.73,1218.57,0,1236.09,0,1261.06,0
1740589200,2025-02-27,1228.64,1215.73,,1235.11,1212.54,,-15.41,-1.25%,,1231.14,1227.06,0,1242.82,0,1267.66,0
1740502800,2025-02-26,1214.15,1231.14,,1233.35,1208.91,,+24.75,+2.05%,,1206.39,1233.04,0,1249.66,0,1274.03,0
1740416400,2025-02-25,1228.15,1206.39,,1231.48,1206.39,,-29.46,-2.38%,,1235.85,1239.27,0,1254.94,0,1279.77,0
1740330000,2025-02-24,1241.50,1235.85,,1242.50,1227.42,,-10.36,-0.83%,,1246.21,1249.48,0,1261.35,0,1286.49,0
1740070800,2025-02-21,1241.43,1246.21,,1252.50,1240.67,,+0.60,+0.05%,,1245.61,1253.61,0,1265.97,0,1292.40,0
1739984400,2025-02-20,1254.69,1245.61,,1261.41,1240.56,,-16.66,-1.32%,,1262.27,1258.58,0,1267.56,0,1297.30,0
1739898000,2025-02-19,1257.12,1262.27,,1267.72,1254.18,,+4.79,+0.38%,,1257.48,1266.28,0,1271.67,0,1303.11,0
1739811600,2025-02-18,1255.61,1257.48,,1263.01,1252.73,,+1.00,+0.08%,,1256.48,1270.62,0,1275.55,0,1307.62,0
1739725200,2025-02-17,1240.23,1256.48,,1256.48,1236.80,,-14.56,-1.15%,,1271.04,1273.22,0,1280.24,0,1311.77,0
1739466000,2025-02-14,1285.20,1271.04,,1287.66,1269.81,,-13.07,-1.02%,,1284.11,1278.34,0,1286.04,0,1315.98,0
1739379600,2025-02-13,1286.66,1284.11,,1298.72,1281.16,,+0.14,+0.01%,,1283.97,1276.55,0,1292.50,0,1320.06,0
1739206800,2025-02-11,1272.49,1283.97,,1285.98,1269.58,,+13.48,+1.06%,,1270.49,1277.07,0,1298.41,0,1323.51,0
1739120400,2025-02-10,1274.99,1270.49,,1275.88,1262.41,,-11.60,-0.90%,,1282.09,1280.48,0,1304.59,0,1326.32,0
1738861200,2025-02-07,1267.05,1282.09,,1282.09,1252.26,,+20.02,+1.59%,,1262.07,1287.26,0,1311.63,0,1330.52,0
1738774800,2025-02-06,1286.15,1262.07,,1290.26,1260.02,,-24.67,-1.92%,,1286.74,1293.74,0,1318.83,0,1334.81,0
1738688400,2025-02-05,1296.70,1286.74,,1305.17,1282.04,,-14.28,-1.10%,,1301.02,1308.46,0,1327.04,0,1339.86,0
1738602000,2025-02-04,1310.68,1301.02,,1316.41,1300.11,,-3.37,-0.26%,,1304.39,1319.75,0,1334.55,0,1344.91,0
1738515600,2025-02-03,1274.21,1304.39,,1304.39,1270.87,,-10.11,-0.77%,,1314.50,1328.70,0,1339.70,0,1349.40,0
1738256400,2025-01-31,1334.12,1314.50,,1337.80,1310.72,,-21.14,-1.58%,,1335.64,1336.01,0,1343.31,0,1352.81,0
