时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743080400,2025-03-28,7969.00,7972.00,,8001.00,7941.50,,+2.40,+0.03%,,7969.60,7963.00,0,7918.96,0,7949.69,0
1742994000,2025-03-27,7999.00,7969.60,,7999.00,7936.20,,-27.90,-0.35%,,7997.50,7954.10,0,7900.92,0,7959.21,0
1742907600,2025-03-26,7942.50,7997.50,,8014.90,7942.50,,+56.20,+0.71%,,7941.30,7943.42,0,7879.35,0,7973.85,0
1742821200,2025-03-25,7936.90,7941.30,,7994.00,7936.90,,+6.70,+0.08%,,7934.60,7909.54,0,7856.20,0,7985.92,0
1742734800,2025-03-24,7931.20,7934.60,,7939.20,7899.50,,+7.10,+0.09%,,7927.50,7892.86,0,7852.34,0,8001.61,0
1742475600,2025-03-21,7918.90,7927.50,,7962.60,7905.10,,+11.30,+0.14%,,7916.20,7874.92,0,7855.36,0,8019.45,0
1742389200,2025-03-20,7828.30,7916.20,,7931.20,7828.30,,+88.10,+1.13%,,7828.10,7847.74,0,7857.65,0,8037.83,0
1742302800,2025-03-19,7860.40,7828.10,,7868.50,7808.80,,-29.80,-0.38%,,7857.90,7815.28,0,7876.60,0,8057.74,0
1742216400,2025-03-18,7854.10,7857.90,,7922.90,7850.00,,+13.00,+0.17%,,7844.90,7802.86,0,7906.83,0,8087.42,0
1742130000,2025-03-17,7792.30,7844.90,,7858.50,7792.30,,+53.30,+0.68%,,7791.60,7811.82,0,7940.01,0,8118.54,0
1741870800,2025-03-14,7749.10,7791.60,,7795.30,7740.10,,+37.70,+0.49%,,7753.90,7835.80,0,7980.43,0,8152.48,0
1741784400,2025-03-13,7786.20,7753.90,,7821.10,7746.40,,-12.10,-0.16%,,7766.00,7867.56,0,8017.51,0,8191.04,0
1741698000,2025-03-12,7890.10,7766.00,,7890.10,7733.50,,-136.70,-1.73%,,7902.70,7937.92,0,8068.35,0,8230.22,0
1741611600,2025-03-11,7962.30,7902.70,,7962.30,7818.30,,-62.10,-0.78%,,7964.80,8010.80,0,8115.65,0,8268.27,0
1741525200,2025-03-10,7948.20,7964.80,,7978.60,7948.10,,+14.40,+0.18%,,7950.40,8068.20,0,8150.88,0,8297.47,0
1741266000,2025-03-07,8094.70,7950.40,,8094.70,7946.40,,-155.30,-1.92%,,8105.70,8125.06,0,8183.54,0,8323.52,0
1741179600,2025-03-06,8141.10,8105.70,,8179.70,8076.40,,-24.70,-0.30%,,8130.40,8167.46,0,8218.01,0,8351.66,0
1741093200,2025-03-05,8198.10,8130.40,,8198.10,8096.00,,-59.30,-0.72%,,8189.70,8198.78,0,8238.88,0,8372.01,0
1741006800,2025-03-04,8245.70,8189.70,,8245.70,8150.20,,-59.40,-0.72%,,8249.10,8220.50,0,8268.01,0,8386.35,0
1740920400,2025-03-03,8172.40,8249.10,,8251.90,8172.40,,+86.70,+1.06%,,8162.40,8233.56,0,8297.06,0,8396.93,0
1740661200,2025-02-28,8268.20,8162.40,,8268.20,8155.50,,-99.90,-1.21%,,8262.30,8242.02,0,8324.53,0,8403.20,0
1740574800,2025-02-27,8240.70,8262.30,,8300.00,8240.70,,+23.30,+0.28%,,8239.00,8268.56,0,8364.56,0,8421.98,0
1740488400,2025-02-26,8251.90,8239.00,,8251.90,8210.10,,-16.00,-0.19%,,8255.00,8278.98,0,8392.09,0,8433.64,0
1740402000,2025-02-25,8308.20,8255.00,,8308.20,8227.60,,-36.40,-0.44%,,8291.40,8315.52,0,8420.90,0,8444.48,0
1740315600,2025-02-24,8296.20,8291.40,,8310.00,8216.30,,-3.70,-0.04%,,8295.10,8360.56,0,8444.06,0,8452.14,0
1740056400,2025-02-21,8322.80,8295.10,,8354.00,8289.70,,-19.30,-0.23%,,8314.40,8407.04,0,8463.51,0,8457.99,0
1739970000,2025-02-20,8419.20,8314.40,,8419.20,8287.80,,-107.30,-1.27%,,8421.70,8460.56,0,8485.32,0,8461.76,0
1739883600,2025-02-19,8481.00,8421.70,,8482.00,8389.40,,-58.50,-0.69%,,8480.20,8505.20,0,8505.14,0,8467.58,0
1739797200,2025-02-18,8537.10,8480.20,,8544.70,8468.70,,-43.60,-0.51%,,8523.80,8526.28,0,8504.69,0,8466.38,0
1739710800,2025-02-17,8555.80,8523.80,,8555.80,8480.20,,-38.90,-0.45%,,8562.70,8527.56,0,8496.81,0,8459.79,0
1739451600,2025-02-14,8540.00,8562.70,,8615.20,8540.00,,+25.10,+0.29%,,8537.60,8519.98,0,8481.87,0,8449.32,0
1739365200,2025-02-13,8535.30,8537.60,,8575.20,8534.60,,+10.50,+0.12%,,8527.10,8510.08,0,8479.40,0,8437.30,0
1739278800,2025-02-12,8484.00,8527.10,,8528.60,8469.70,,+40.50,+0.48%,,8486.60,8505.08,0,8475.18,0,8421.37,0
1739192400,2025-02-11,8482.80,8486.60,,8515.30,8480.60,,+0.70,+0.01%,,8485.90,8483.10,0,8468.06,0,8406.30,0
1739106000,2025-02-10,8511.40,8485.90,,8511.40,8445.30,,-27.30,-0.32%,,8513.20,8466.06,0,8460.21,0,8391.38,0
1738846800,2025-02-07,8520.70,8513.20,,8532.60,8498.70,,+0.60,+0.01%,,8512.60,8443.76,0,8452.46,0,8381.84,0
1738760400,2025-02-06,8416.90,8512.60,,8523.20,8416.90,,+95.40,+1.13%,,8417.20,8448.72,0,8438.20,0,8372.05,0
1738674000,2025-02-05,8374.00,8417.20,,8441.20,8374.00,,+15.80,+0.19%,,8401.40,8445.28,0,8430.01,0,8364.00,0
1738587600,2025-02-04,8379.40,8401.40,,8446.80,8379.40,,+27.00,+0.32%,,8374.40,8453.02,0,8428.07,0,8357.14,0
