时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743030000,2025-03-27,12804.33,12867.23,,12867.23,12738.01,,-86.57,-0.67%,,12953.80,12985.02,0,13010.01,0,12995.36,0
1742943600,2025-03-26,13015.02,12953.80,,13015.99,12917.54,,-59.35,-0.46%,,13013.15,13030.98,0,13006.91,0,12999.91,0
1742857200,2025-03-25,13035.33,13013.15,,13100.42,13013.15,,-2.36,-0.02%,,13015.51,13048.41,0,12998.37,0,13004.35,0
1742770800,2025-03-24,13097.42,13015.51,,13110.93,12972.52,,-59.89,-0.46%,,13075.40,13058.20,0,12966.28,0,13004.94,0
1742511600,2025-03-21,13043.22,13075.40,,13077.51,12994.05,,-21.65,-0.17%,,13097.05,13066.72,0,12966.07,0,13001.82,0
1742425200,2025-03-20,13035.12,13097.05,,13103.76,13005.50,,+56.13,+0.43%,,13040.92,13035.00,0,12966.20,0,12995.48,0
1742338800,2025-03-19,13022.28,13040.92,,13071.53,12996.18,,-21.19,-0.16%,,13062.11,12982.83,0,12959.43,0,12981.04,0
1742252400,2025-03-18,13095.25,13062.11,,13117.35,13022.32,,+3.99,+0.03%,,13058.12,12948.33,0,12966.62,0,12968.92,0
1742166000,2025-03-17,12927.51,13058.12,,13064.98,12917.93,,+141.31,+1.09%,,12916.81,12874.36,0,12961.08,0,12960.51,0
1741906800,2025-03-14,12827.37,12916.81,,12948.27,12784.24,,+80.62,+0.63%,,12836.19,12865.43,0,12971.94,0,12951.36,0
1741820400,2025-03-13,12827.16,12836.19,,12927.71,12790.12,,-32.24,-0.25%,,12868.43,12897.40,0,12980.70,0,12947.51,0
1741734000,2025-03-12,12792.93,12868.43,,12977.76,12790.87,,+176.18,+1.39%,,12692.25,12936.04,0,12992.92,0,12953.15,0
1741647600,2025-03-11,12959.37,12692.25,,12965.18,12668.21,,-321.20,-2.47%,,13013.45,12984.90,0,13010.33,0,12945.43,0
1741561200,2025-03-10,13111.05,13013.45,,13111.29,12984.08,,-63.23,-0.48%,,13076.68,13047.80,0,13043.60,0,12945.52,0
1741302000,2025-03-07,12953.21,13076.68,,13110.56,12889.55,,+47.29,+0.36%,,13029.39,13078.45,0,13037.57,0,12926.24,0
1741215600,2025-03-06,13090.73,13029.39,,13105.02,12928.22,,-83.36,-0.64%,,13112.75,13064.01,0,13024.77,0,12902.07,0
1741129200,2025-03-05,13081.21,13112.75,,13161.90,13066.22,,+106.01,+0.82%,,13006.74,13049.80,0,13002.64,0,12881.82,0
1741042800,2025-03-04,13099.49,13006.74,,13146.92,12991.81,,-159.94,-1.21%,,13166.68,13035.75,0,12971.21,0,12855.15,0
1740956400,2025-03-03,13032.86,13166.68,,13199.05,12956.84,,+162.20,+1.25%,,13004.48,13039.40,0,12959.94,0,12828.59,0
1740697200,2025-02-28,12914.25,13004.48,,13020.65,12884.27,,+46.14,+0.36%,,12958.34,12996.70,0,12930.78,0,12797.59,0
1740610800,2025-02-27,12957.21,12958.34,,13026.97,12921.94,,-84.17,-0.65%,,13042.51,12985.53,0,12914.32,0,12777.22,0
1740524400,2025-02-26,12994.42,13042.51,,13100.22,12993.65,,+17.50,+0.13%,,13025.01,12955.47,0,12913.39,0,12759.53,0
1740438000,2025-02-25,12919.35,13025.01,,13040.36,12914.11,,+71.84,+0.55%,,12953.17,12906.68,0,12880.53,0,12733.92,0
