日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅（%）,涨跌幅（%）,涨跌额,换手率（%）
2025-03-28,1037.76,1029.97,1044.92,1029.74,22486178,81354100038.00,1.46%,-1.02%,-10.60,1.35%
2025-03-27,1028.69,1040.57,1053.22,1026.20,25274784,96674691698.00,2.63%,1.12%,11.52,1.52%
2025-03-26,1029.81,1029.05,1040.22,1028.80,21589683,77658207312.00,1.11%,-0.26%,-2.65,1.30%
2025-03-25,1045.85,1031.70,1049.31,1028.54,23573432,86424447035.00,1.99%,-1.36%,-14.24,1.42%
2025-03-24,1042.33,1045.94,1048.17,1029.91,29076650,101678429897.00,1.75%,0.29%,3.05,1.75%
2025-03-21,1063.33,1042.89,1065.41,1036.37,30248391,112660330422.00,2.73%,-2.06%,-21.90,1.82%
2025-03-20,1075.13,1064.79,1076.37,1064.25,27574771,101227661795.00,1.13%,-1.13%,-12.15,1.66%
2025-03-19,1084.90,1076.94,1089.63,1075.10,28807118,107718690755.00,1.33%,-1.18%,-12.89,1.73%
2025-03-18,1087.34,1089.83,1103.49,1087.34,30549093,114013735224.00,1.49%,0.61%,6.62,1.84%
2025-03-17,1090.00,1083.21,1090.11,1077.49,29805928,111824652316.00,1.16%,-0.45%,-4.90,1.79%
2025-03-14,1070.80,1088.11,1089.26,1069.01,33196342,127738215778.00,1.89%,1.72%,18.41,2.00%
2025-03-13,1093.59,1069.70,1094.89,1064.25,35028705,128494126146.00,2.80%,-2.11%,-23.01,2.11%
2025-03-12,1107.96,1092.71,1112.16,1092.67,32797155,129620327872.00,1.77%,-0.73%,-8.03,1.97%
2025-03-11,1086.38,1100.74,1102.91,1085.46,32494332,123402789375.00,1.58%,-0.40%,-4.42,1.96%
2025-03-10,1107.31,1105.16,1111.74,1088.34,35068148,133821220747.00,2.11%,-0.22%,-2.46,2.11%
2025-03-07,1113.84,1107.62,1120.98,1102.61,38649049,146625779822.00,1.64%,-1.24%,-13.96,2.33%
2025-03-06,1100.44,1121.58,1125.64,1099.72,44917469,179760327391.00,2.39%,3.48%,37.76,2.70%
2025-03-05,1081.10,1083.82,1090.47,1072.06,35061162,133456012722.00,1.70%,0.29%,3.16,2.11%
2025-03-04,1052.47,1080.66,1088.53,1050.25,36576289,144478163758.00,3.60%,1.72%,18.31,2.20%
2025-03-03,1079.64,1062.35,1087.72,1055.77,40444205,154112107620.00,2.96%,-1.52%,-16.45,2.44%
2025-02-28,1118.52,1078.80,1123.56,1076.01,48627539,189935328427.00,4.22%,-4.22%,-47.49,2.93%
2025-02-27,1127.25,1126.29,1140.37,1101.52,48414146,193077570241.00,3.45%,-0.05%,-0.53,2.91%
2025-02-26,1108.58,1126.82,1129.63,1093.27,48188607,193424997599.00,3.30%,2.17%,23.92,2.90%
2025-02-25,1083.94,1102.90,1119.30,1079.49,44028999,181408469859.00,3.62%,0.26%,2.85,2.65%
2025-02-24,1093.03,1100.05,1110.06,1084.57,47334072,189388061218.00,2.33%,0.48%,5.28,2.85%
2025-02-21,1042.40,1094.77,1098.60,1038.85,51205572,214169428688.00,5.78%,5.97%,61.68,3.08%
