时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743091200,2025-03-28,3885.85,3845.73,,3885.85,3827.11,5310918188.00,-29.69,-0.77%,,3875.42,3864.38,0,3917.72,0,3892.27,0
1743004800,2025-03-27,3850.75,3875.42,,3888.64,3838.39,6189360778.00,+25.74,+0.67%,,3849.68,3877.08,0,3923.79,0,3890.10,0
1742918400,2025-03-26,3845.73,3849.68,,3884.73,3832.11,6458972149.00,+2.62,+0.07%,,3847.06,3893.35,0,3923.10,0,3890.39,0
1742832000,2025-03-25,3879.23,3847.06,,3890.08,3836.88,7698139892.00,-56.96,-1.46%,,3904.02,3927.16,0,3925.13,0,3891.76,0
1742745600,2025-03-24,3917.94,3904.02,,3928.72,3871.15,7300904142.00,-5.22,-0.13%,,3909.24,3962.73,0,3928.77,0,3890.02,0
1742486400,2025-03-21,3950.11,3909.24,,3983.96,3888.25,10305329413.00,-47.50,-1.20%,,3956.74,3971.06,0,3925.41,0,3887.75,0
1742400000,2025-03-20,4009.36,3956.74,,4014.74,3948.99,7950606506.00,-61.99,-1.54%,,4018.73,3970.50,0,3926.20,0,3885.40,0
1742313600,2025-03-19,4040.71,4018.73,,4041.52,4009.72,10605185790.00,-6.18,-0.15%,,4024.91,3952.85,0,3920.64,0,3877.72,0
1742227200,2025-03-18,3977.25,4024.91,,4025.04,3962.10,9387075159.00,+79.22,+2.01%,,3945.69,3923.09,0,3903.42,0,3868.12,0
1742140800,2025-03-17,3926.87,3945.69,,3967.38,3926.56,8802608105.00,+39.24,+1.00%,,3906.45,3894.82,0,3880.69,0,3858.06,0
1741881600,2025-03-14,3868.59,3906.45,,3930.30,3841.21,8832106283.00,+37.96,+0.98%,,3868.49,3879.77,0,3866.83,0,3851.11,0
1741795200,2025-03-13,3878.54,3868.49,,3883.08,3821.79,7868088434.00,-1.44,-0.04%,,3869.93,3881.89,0,3856.41,0,3844.23,0
1741708800,2025-03-12,3875.28,3869.93,,3896.77,3846.77,8613445725.00,-13.61,-0.35%,,3883.54,3888.43,0,3857.68,0,3834.21,0
