时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743030000,2025-03-27,914.91,914.68,,917.19,911.48,,-2.41,-0.26%,,917.09,916.85,0,915.98,0,912.36,0
1742943600,2025-03-26,923.58,917.09,,924.12,916.82,,-3.91,-0.42%,,921.00,917.77,0,914.31,0,912.92,0
1742857200,2025-03-25,916.97,921.00,,925.68,916.93,,+4.35,+0.47%,,916.65,918.90,0,912.53,0,913.67,0
1742770800,2025-03-24,920.95,916.65,,921.57,913.53,,+1.82,+0.20%,,914.83,917.49,0,909.39,0,914.11,0
1742511600,2025-03-21,917.40,914.83,,917.40,910.06,,-4.43,-0.48%,,919.26,916.95,0,907.98,0,915.00,0
1742425200,2025-03-20,922.15,919.26,,926.18,917.73,,-3.49,-0.38%,,922.75,915.11,0,907.63,0,916.14,0
1742338800,2025-03-19,913.65,922.75,,923.50,913.38,,+8.78,+0.96%,,913.97,910.85,0,906.78,0,917.10,0
1742252400,2025-03-18,916.79,913.97,,919.42,912.05,,+0.02,+0.00%,,913.95,906.15,0,905.46,0,918.08,0
1742166000,2025-03-17,905.03,913.95,,914.59,904.40,,+8.32,+0.92%,,905.63,901.30,0,905.46,0,919.73,0
1741906800,2025-03-14,898.01,905.63,,907.23,897.40,,+7.66,+0.85%,,897.97,899.01,0,907.11,0,921.46,0
1741820400,2025-03-13,895.63,897.97,,903.59,895.23,,-1.27,-0.14%,,899.24,900.16,0,908.74,0,923.51,0
1741734000,2025-03-12,894.36,899.24,,902.74,891.49,,+9.55,+1.07%,,889.69,902.71,0,911.53,0,925.94,0
1741647600,2025-03-11,903.70,889.69,,903.93,887.38,,-12.85,-1.42%,,902.54,904.76,0,914.82,0,928.11,0
1741561200,2025-03-10,914.40,902.54,,914.78,900.69,,-8.80,-0.97%,,911.34,909.63,0,918.83,0,930.57,0
1741302000,2025-03-07,909.34,911.34,,915.47,907.11,,+0.62,+0.07%,,910.72,915.21,0,922.01,0,932.03,0
1741215600,2025-03-06,916.04,910.72,,916.37,903.34,,+1.21,+0.13%,,909.51,917.32,0,924.64,0,932.67,0
