时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743048000,2025-03-27,42432.96,42299.70,492221319,42523.84,42142.19,,-155.09,-0.37%,,42454.79,42382.13,622504216,42073.97,597477732,42209.50,666879415
1742961600,2025-03-26,42655.85,42454.79,592650283,42821.83,42326.67,,-132.71,-0.31%,,42587.50,42312.86,634151588,41925.36,612933215,42256.49,679249633
1742875200,2025-03-25,42635.54,42587.50,452202084,42696.61,42441.83,,+4.18,+0.01%,,42583.32,42214.82,631128913,41814.97,624904746,42305.40,679130747
1742788800,2025-03-24,42180.14,42583.32,548846281,42638.85,42180.14,,+597.97,+1.42%,,41985.35,42013.59,654651505,41699.57,662500605,42357.09,689045228
1742529600,2025-03-21,41763.40,41985.35,1026601111,42011.40,41433.86,,+32.03,+0.08%,,41953.32,41865.25,657721853,41632.41,691634099,42400.98,692377992
1742443200,2025-03-20,41795.26,41953.32,550458183,42250.29,41695.61,,-11.31,-0.03%,,41964.63,41765.82,572451248,41714.05,665318180,42473.12,672175583
1742356800,2025-03-19,41613.19,41964.63,577536904,42178.41,41613.19,,+383.32,+0.92%,,41581.31,41537.87,591714842,41776.62,674660460,42584.28,667077789
1742270400,2025-03-18,41772.91,41581.31,569815045,41787.25,41415.43,,-260.32,-0.62%,,41841.63,41415.13,618680579,41880.82,675142017,42717.43,660145268
1742184000,2025-03-17,41460.22,41841.63,564198023,42013.10,41412.75,,+353.44,+0.85%,,41488.19,41385.56,670349706,41974.79,699738699,42866.18,659244362
1741924800,2025-03-14,41057.57,41488.19,600248083,41528.11,40929.54,,+674.62,+1.65%,,40813.57,41399.58,725546344,42109.75,716475481,43001.40,654763135
1741838400,2025-03-13,41280.05,40813.57,646776155,41360.12,40661.77,,-537.36,-1.30%,,41350.93,41662.28,758185113,42345.02,736281098,43162.57,650448758
1741752000,2025-03-12,41577.50,41350.93,712365590,41721.36,41010.24,,-82.55,-0.20%,,41433.48,42015.38,757606078,42587.61,745566051,43340.32,640333939
1741665600,2025-03-11,41837.95,41433.48,828160678,41868.27,41175.37,,-478.23,-1.14%,,41911.71,42346.52,731603454,42795.83,733356748,43502.45,627387738
1741579200,2025-03-10,42507.65,41911.71,840181216,42541.36,41612.92,,-890.01,-2.08%,,42801.72,42564.02,729127693,43014.60,715589851,43654.30,610709977
1741323600,2025-03-07,42503.07,42801.72,763441928,42898.68,42175.62,,+222.64,+0.52%,,42579.08,42819.92,707404617,43169.55,693121884,43773.88,596326871
1741237200,2025-03-06,42848.49,42579.08,643880978,42970.49,42381.56,,-427.51,-0.99%,,43006.59,43027.76,714377083,43232.18,679032985,43871.18,585267311
1741150800,2025-03-05,42518.37,43006.59,582352472,43135.92,42418.73,,+485.60,+1.14%,,42520.99,43159.85,733526024,43391.94,659495118,43985.89,580675692
1741064400,2025-03-04,43040.30,42520.99,815781869,43084.00,42347.75,,-670.25,-1.55%,,43191.24,43245.15,735110041,43554.04,645148518,44063.36,579626315
1740978000,2025-03-03,43900.49,43191.24,731565839,44033.78,42919.31,,-649.67,-1.48%,,43840.91,43465.19,702052009,43757.57,618750024,44158.41,574481853
1740718800,2025-02-28,43259.84,43840.91,798304255,43873.55,43100.87,,+601.41,+1.39%,,43239.50,43519.18,678839152,43893.06,593050790,44226.08,576330148
1740632400,2025-02-27,43516.44,43239.50,739625683,43884.19,43224.53,,-193.62,-0.45%,,43433.12,43436.60,643688888,43980.11,564616418,44278.14,572119360
1740546000,2025-02-26,43635.42,43433.12,590272561,43866.50,43318.93,,-188.04,-0.43%,,43621.16,43624.03,585464212,44093.02,535101827,44351.84,569897628
1740459600,2025-02-25,43509.74,43621.16,650491709,43767.74,43282.98,,+159.95,+0.37%,,43461.21,43862.93,555186995,44209.07,521418728,44422.70,586139518
1740373200,2025-02-24,43493.12,43461.21,615501551,43699.15,43343.67,,+33.19,+0.08%,,43428.02,44049.96,535448040,44293.99,505830103,44477.32,615122769
1740114000,2025-02-21,43820.13,43428.02,622552937,43959.73,43349.33,,-748.63,-1.69%,,44176.65,44266.94,507262428,44378.21,499531857,44525.47,610959243
1740027600,2025-02-20,44561.11,44176.65,448502301,44561.11,43950.16,,-450.94,-1.01%,,44627.59,44523.62,485543948,44510.17,491501637,44582.33,602040863
1739941200,2025-02-19,44478.12,44627.59,438886479,44636.19,44312.65,,+71.25,+0.16%,,44556.34,44562.00,484739442,44579.84,501856265,44581.33,609037514
1739854800,2025-02-18,44583.91,44556.34,551796930,44602.02,44319.32,,+10.26,+0.02%,,44546.08,44555.21,487650461,44572.68,514104112,44551.24,616704062
1739509200,2025-02-14,44720.99,44546.08,474573495,44769.05,44498.96,,-165.35,-0.37%,,44711.43,44538.03,476212166,44559.24,530213682,44497.82,617061784
1739422800,2025-02-13,44425.94,44711.43,513960537,44768.26,44366.62,,+342.87,+0.77%,,44368.56,44489.49,491801286,44559.10,559609506,44428.17,618546663
1739336400,2025-02-12,44357.70,44368.56,444479769,44467.21,44104.48,,-225.09,-0.50%,,44593.65,44496.73,497459326,44576.17,579622303,44353.67,616804422
1739250000,2025-02-11,44401.38,44593.65,453441576,44640.60,44319.51,,+123.24,+0.28%,,44470.41,44597.67,518973089,44610.66,604693430,44261.16,617313360
1739163600,2025-02-10,44396.92,44470.41,494605454,44622.19,44301.42,,+167.01,+0.38%,,44303.40,44590.15,540557763,44636.33,650860307,44146.33,619651131
1738904400,2025-02-07,44762.57,44303.40,552519093,44857.11,44279.78,,-444.23,-0.99%,,44747.63,44580.45,584215198,44660.65,724415435,44019.74,622111752
1738818000,2025-02-06,44949.19,44747.63,542250738,44966.63,44545.27,,-125.65,-0.28%,,44873.28,44628.70,627417727,44672.73,722386628,43936.33,617657492
1738731600,2025-02-05,44563.63,44873.28,552048582,44886.88,44352.99,,+317.24,+0.71%,,44556.04,44655.60,661785279,44654.48,712580089,43825.36,621626698
1738645200,2025-02-04,44469.46,44556.04,561364946,44597.71,44328.52,,+134.13,+0.30%,,44421.91,44623.65,690413772,44582.82,716218762,43717.03,621876404
1738558800,2025-02-03,44268.15,44421.91,712892630,44594.54,43879.06,,-122.75,-0.28%,,44544.66,44682.51,761162852,44529.80,719304012,43625.83,616598907
1738299600,2025-01-31,45054.36,44544.66,768531737,45054.36,44507.22,,-337.47,-0.75%,,44882.13,44740.85,864615672,44436.39,703909887,43524.35,603947041
1738213200,2025-01-30,44548.69,44882.13,714088502,45008.75,44548.69,,+168.61,+0.38%,,44713.52,44716.77,817355530,44297.24,677483820,43424.33,583481415
1738126800,2025-01-29,44819.55,44713.52,695191043,44962.58,44579.10,,-136.83,-0.31%,,44850.35,44653.35,763374899,44131.18,653986542,43308.91,566941993
1738040400,2025-01-28,44756.36,44850.35,915110348,44976.35,44621.96,,+136.77,+0.31%,,44713.58,44542.00,742023753,43911.66,629933290,43222.84,551030588
1737954000,2025-01-27,44148.84,44713.58,1230156731,44727.85,44026.27,,+289.33,+0.65%,,44424.25,44377.09,677445172,43656.33,588441954,43146.61,518793039
1737694800,2025-01-24,44533.75,44424.25,532231026,44545.52,44332.22,,-140.82,-0.32%,,44565.07,44131.94,543204102,43378.82,519808070,43075.79,468805858
1737608400,2025-01-23,44113.55,44565.07,444185347,44565.26,44113.55,,+408.34,+0.92%,,44156.73,43877.71,537612110,43199.92,512928356,42999.92,464664196
1737522000,2025-01-22,44178.06,44156.73,588435315,44208.34,44042.11,,+130.92,+0.30%,,44025.81,43609.01,544598185,42996.25,530673306,42913.68,498520087
1737435600,2025-01-21,43528.65,44025.81,592217443,44050.13,43528.65,,+537.98,+1.24%,,43487.83,43281.32,517842826,42851.23,527534046,42822.96,497108705
1737090000,2025-01-17,43312.55,43487.83,558951378,43653.25,43312.55,,+334.70,+0.78%,,43153.13,42935.58,499438736,42721.86,513893802,42738.01,498876489
1737003600,2025-01-16,43290.25,43153.13,504271067,43294.81,43081.75,,-68.42,-0.16%,,43221.55,42625.71,496412038,42612.30,503984195,42736.11,500612574
1736917200,2025-01-15,42927.76,43221.55,479115721,43323.49,42927.76,,+703.27,+1.65%,,42518.28,42522.12,488244603,42551.41,489479010,42764.33,504366916
1736830800,2025-01-14,42366.42,42518.28,454658522,42544.57,42157.03,,+221.16,+0.52%,,42297.12,42383.48,516748428,42486.63,479897445,42794.66,503180202
1736744400,2025-01-13,41924.68,42297.12,500196993,42319.60,41844.89,,+358.67,+0.86%,,41938.45,42421.14,537225265,42534.02,472127886,42864.45,500250180
1736485200,2025-01-10,42540.29,41938.45,543817886,42540.29,41877.30,,-696.75,-1.63%,,42635.20,42508.14,528348867,42636.89,449144123,42957.02,500873186
1736312400,2025-01-08,42542.10,42635.20,463433893,42656.22,42327.79,,+106.84,+0.25%,,42528.36,42598.90,511556352,42772.75,417803647,43072.49,497815324
1736226000,2025-01-07,42809.71,42528.36,621634846,42931.54,42380.75,,-178.20,-0.42%,,42706.56,42580.71,490713417,42799.93,416400035,43160.83,499839874
1736139600,2025-01-06,42835.52,42706.56,557042708,43115.31,42611.16,,-25.57,-0.06%,,42732.13,42589.78,443046461,42831.12,466366868,43266.53,492104075
1735880400,2025-01-03,42495.76,42732.13,455815002,42782.76,42436.92,,+339.86,+0.80%,,42392.27,42646.91,407030507,42794.68,466683365,43369.49,487118991
1735794000,2025-01-02,42660.09,42392.27,459855310,42905.09,42174.80,,-151.95,-0.36%,,42544.22,42765.65,369939379,42754.16,483859176,43483.59,492049571
1735621200,2024-12-31,42636.70,42544.22,359219218,42779.69,42421.29,,-29.51,-0.07%,,42573.73,42946.60,324050942,42859.92,497240952,43599.25,490513584
1735534800,2024-12-30,42863.86,42573.73,383300069,42863.86,42263.51,,-418.48,-0.97%,,42992.21,43019.14,342086654,42977.25,519254822,43711.14,494802154
1735275600,2024-12-27,43142.37,42992.21,376962934,43238.85,42761.56,,-333.59,-0.77%,,43325.80,43072.45,489687274,43102.68,526462959,43827.98,491598073
1735189200,2024-12-26,43201.85,43325.80,270359363,43373.98,43115.09,,+28.77,+0.07%,,43297.03,42942.46,526336224,43194.87,528372473,43914.48,495317981
1735016400,2024-12-24,42916.48,43297.03,230413128,43297.65,42871.76,,+390.08,+0.91%,,42906.95,42742.67,597778973,43277.15,552602249,43991.20,505608731
1734930000,2024-12-23,42800.49,42906.95,449397774,42957.79,42516.87,,+66.69,+0.16%,,42840.26,42773.24,670430963,43372.23,577827000,44063.18,535421142
1734670800,2024-12-20,42296.26,42840.26,1121303172,43216.03,42146.33,,+498.02,+1.18%,,42342.24,42935.35,696422990,43521.72,583279713,44132.66,539602205
1734584400,2024-12-19,42464.13,42342.24,560207681,42787.85,42334.13,,+15.37,+0.04%,,42326.87,43132.91,563238645,43701.95,517841282,44184.16,519143191
1734498000,2024-12-18,43459.72,42326.87,627573111,43688.97,42300.04,,-1123.03,-2.58%,,43449.90,43447.29,530408723,43944.30,507554616,44237.47,519083537
1734411600,2024-12-17,43656.47,43449.90,593673075,43656.47,43336.22,,-267.58,-0.61%,,43717.48,43811.62,507425525,44213.01,500239967,44284.58,512603403
1734325200,2024-12-16,43825.76,43717.48,579357912,43951.58,43686.85,,-110.58,-0.25%,,43828.06,43971.21,485223037,44338.58,483786216,44281.56,509279014
1734066000,2024-12-13,43929.15,43828.06,455381444,44054.23,43790.48,,-86.06,-0.20%,,43914.12,44108.10,470136436,44445.03,470349487,44267.94,513527137
1733979600,2024-12-12,44168.66,43914.12,396058073,44208.60,43903.27,,-234.44,-0.53%,,44148.56,44270.99,472443920,44553.29,456733187,44264.08,518012744
1733893200,2024-12-11,44300.41,44148.56,512657119,44376.18,44135.74,,-99.27,-0.22%,,44247.83,44441.31,484700510,44634.08,462263489,44266.28,524151943
1733806800,2024-12-10,44291.57,44247.83,482660639,44470.84,44186.66,,-154.10,-0.35%,,44401.93,44614.41,493054409,44705.26,458615213,44254.40,522655116
1733720400,2024-12-09,44637.97,44401.93,503924907,44728.51,44382.83,,-240.59,-0.54%,,44642.52,44705.95,482349395,44754.13,493015285,44256.67,521119535
1733461200,2024-12-06,44824.29,44642.52,466918860,44923.74,44596.46,,-123.19,-0.28%,,44765.71,44781.96,470562537,44743.59,495924697,44236.02,518652035
1733374800,2024-12-05,45038.44,44765.71,457341023,45059.94,44747.14,,-248.33,-0.55%,,45014.04,44835.59,441022454,44666.37,520445099,44190.36,517182073
1733288400,2024-12-04,44941.05,45014.04,554426617,45073.63,44799.74,,+308.51,+0.69%,,44705.53,44826.86,439826469,44530.65,530612458,44138.57,522105448
1733202000,2024-12-03,44769.58,44705.53,429135569,44914.68,44574.78,,-76.47,-0.17%,,44782.00,44796.11,424176016,44356.14,524966839,43998.96,508584116
1733115600,2024-12-02,44925.86,44782.00,444990617,45001.66,44710.16,,-128.65,-0.29%,,44910.65,44802.32,503681175,44224.55,534771813,43853.42,504202733
1732856400,2024-11-29,44760.05,44910.65,319218442,45071.29,44760.05,,+188.59,+0.42%,,44722.06,44705.22,521286856,44090.84,556704787,43716.93,508521186
1732683600,2024-11-27,44837.75,44722.06,451361098,45003.06,44690.23,,-138.25,-0.31%,,44860.31,44497.16,599867745,43974.87,579292302,43559.57,518753958
1732597200,2024-11-26,44614.89,44860.31,476174354,44903.01,44426.66,,+123.74,+0.28%,,44736.57,44234.44,621398446,43898.48,586040396,43430.54,515057329
1732510800,2024-11-25,44385.49,44736.57,826661363,44815.67,44385.49,,+440.06,+0.99%,,44296.51,43916.17,625757661,43803.55,586695020,43299.18,509926241
1732251600,2024-11-22,43871.63,44296.51,533019024,44323.95,43871.63,,+426.16,+0.97%,,43870.35,43646.77,565862451,43759.20,549223786,43181.73,482832162
1732165200,2024-11-21,43538.70,43870.35,712122885,44020.31,43345.58,,+461.88,+1.06%,,43408.47,43476.47,592122717,43728.45,541379373,43072.62,471881395
1732078800,2024-11-20,43296.05,43408.47,559014606,43465.77,43074.86,,+139.53,+0.32%,,43268.94,43452.57,558716860,43714.35,513919048,42997.82,450409462
1731992400,2024-11-19,43243.27,43268.94,497970429,43380.97,42938.87,,-120.66,-0.28%,,43389.60,43562.52,550682346,43746.49,513598438,42953.15,440289692
1731906000,2024-11-18,43431.89,43389.60,527185309,43505.66,43297.57,,-55.39,-0.13%,,43444.99,43690.92,547632378,43641.79,492201392,42935.94,432151322
1731646800,2024-11-15,43587.93,43444.99,664320356,43647.53,43350.43,,-305.87,-0.70%,,43750.86,43871.63,532585121,43482.29,473633654,42913.04,419471897
1731560400,2024-11-14,44032.38,43750.86,545093598,44080.78,43704.82,,-207.33,-0.47%,,43958.19,43980.43,490636029,43343.01,460337585,42904.59,401031270
1731474000,2024-11-13,43880.46,43958.19,518842039,44141.33,43829.98,,+47.21,+0.11%,,43910.98,43976.13,469121236,43144.27,458215614,42879.00,387577239
1731387600,2024-11-12,44359.21,43910.98,482720587,44405.73,43887.27,,-382.15,-0.86%,,44293.13,43930.47,476514529,42962.60,444074261,42834.98,376510752
1731301200,2024-11-11,44057.65,44293.13,451949024,44486.70,44057.65,,+304.14,+0.69%,,43988.99,43592.65,436770407,42794.81,433157462,42776.45,370418843
1731042000,2024-11-08,43768.53,43988.99,454574895,44157.29,43733.86,,+259.65,+0.59%,,43729.34,43092.95,414682186,42604.25,416440538,42715.05,359824197
1730955600,2024-11-07,43718.92,43729.34,437519634,43823.10,43641.92,,-0.59,-0.00%,,43729.93,42705.59,430039141,42416.80,402383418,42658.80,350362178
1730869200,2024-11-06,42850.40,43729.93,555808505,43778.78,42850.40,,+1508.05,+3.57%,,42221.88,42312.41,447309993,42281.30,386899877,42595.03,340764971
1730782800,2024-11-05,41835.49,42221.88,283999978,42258.84,41766.96,,+427.28,+1.02%,,41794.60,41994.73,411633993,42159.80,366980945,42534.14,326344837
1730696400,2024-11-04,42004.66,41794.60,341507920,42035.87,41647.30,,-257.59,-0.61%,,42052.19,41996.97,429544517,42230.10,372101251,42527.06,326470846
1730433600,2024-11-01,41869.82,42052.19,531359667,42326.31,41869.82,,+288.73,+0.69%,,41763.46,42115.56,418198889,42343.80,365310141,42535.04,324757371
1730347200,2024-10-31,41956.34,41763.46,523873896,41991.91,41704.63,,-378.08,-0.90%,,42141.54,42128.00,374727695,42466.17,341724954,42550.07,313016902
1730260800,2024-10-30,42249.81,42141.54,377428503,42457.92,42141.54,,-91.51,-0.22%,,42233.05,42250.18,326489761,42613.73,316938864,42562.48,300186591
1730174400,2024-10-29,42323.48,42233.05,373552597,42491.86,42171.65,,-154.52,-0.36%,,42387.57,42324.87,322327898,42707.35,308947243,42565.23,296403657
1730088000,2024-10-28,42264.54,42387.57,284779780,42476.46,42264.54,,+273.17,+0.65%,,42114.40,42463.23,314657986,42758.08,307680224,42561.42,296738105
1729828800,2024-10-25,42477.51,42114.40,314003698,42594.64,42051.39,,-259.96,-0.61%,,42374.36,42572.04,312421393,42825.85,303207857,42558.55,300220824
1729742400,2024-10-24,42522.55,42374.36,282684226,42522.55,42191.83,,-140.59,-0.33%,,42514.95,42804.34,308722214,42900.80,298340938,42568.48,301012956
1729656000,2024-10-23,42834.40,42514.95,356619189,42834.40,42293.17,,-409.94,-0.96%,,42924.89,42977.28,307387966,42908.77,294630064,42558.52,304939344
1729569600,2024-10-22,42876.84,42924.89,335203037,43041.05,42718.26,,-6.71,-0.02%,,42931.60,43089.83,295566588,42908.48,285708729,42528.51,306366468
1729483200,2024-10-21,43222.21,42931.60,273596816,43310.87,42877.57,,-344.31,-0.80%,,43275.91,43052.94,300702462,42824.02,280840441,42492.68,309657560
1729224000,2024-10-18,43187.12,43275.91,295507803,43325.09,43036.35,,+36.86,+0.09%,,43239.05,43079.66,293994320,42726.29,284204601,42452.33,318737865
1729137600,2024-10-17,43119.81,43239.05,276012986,43289.76,43119.81,,+161.35,+0.37%,,43077.70,42997.25,287959661,42633.97,284308848,42391.70,364865436
1729051200,2024-10-16,42706.49,43077.70,297512296,43100.84,42692.37,,+337.28,+0.79%,,42740.42,42840.26,281872162,42511.23,283434319,42331.01,372876223
1728964800,2024-10-15,43240.17,42740.42,360882409,43277.78,42703.17,,-324.80,-0.75%,,43065.22,42727.12,275850870,42423.11,283860072,42252.28,377180692
1728878400,2024-10-14,42800.89,43065.22,240056108,43139.00,42707.14,,+201.36,+0.47%,,42863.86,42595.11,260978419,42364.76,285795986,42195.57,381567460
1728619200,2024-10-11,42507.53,42863.86,265334505,42899.75,42507.53,,+409.74,+0.97%,,42454.12,42372.92,274414881,42291.26,297233792,42123.41,389998579
1728532800,2024-10-10,42511.37,42454.12,245575493,42511.37,42308.04,,-57.88,-0.14%,,42512.00,42270.70,280658036,42236.17,303684974,42049.91,390572154
1728446400,2024-10-09,42070.32,42512.00,267405837,42562.01,41993.35,,+431.63,+1.03%,,42080.37,42182.19,284996475,42208.27,315248624,41982.04,392758443
1728360000,2024-10-08,42022.65,42080.37,286520154,42128.56,41874.72,,+126.13,+0.30%,,41954.24,42119.09,291869273,42148.54,327024207,41899.52,397190530
1728273600,2024-10-07,42289.51,41954.24,307238418,42293.64,41831.74,,-398.51,-0.94%,,42352.75,42134.41,310613554,42161.33,338474680,41832.35,400912365
1728014400,2024-10-04,42248.26,42352.75,296550279,42361.38,41972.11,,+341.16,+0.81%,,42011.59,42209.60,320052702,42178.37,353271130,41776.12,404386581
1727928000,2024-10-03,42099.53,42011.59,267267687,42125.84,41847.81,,-184.93,-0.44%,,42196.52,42201.65,326711912,42149.43,445422024,41675.75,408081240
1727841600,2024-10-02,42125.14,42196.52,301769827,42259.52,41968.79,,+39.55,+0.09%,,42156.97,42234.35,345500772,42150.79,462318128,41612.96,411280851
1727755200,2024-10-01,42262.97,42156.97,380241557,42322.36,41945.63,,-173.18,-0.41%,,42330.15,42178.00,362179141,42081.45,470501312,41551.88,414161696
1727668800,2024-09-30,42289.75,42330.15,354434160,42347.66,41929.07,,+17.15,+0.04%,,42313.00,42188.25,366335806,42026.37,477338933,41490.88,416176293
1727409600,2024-09-27,42227.95,42313.00,329846328,42628.32,42227.95,,+137.89,+0.33%,,42175.11,42147.15,386489558,41955.56,482763366,41452.53,423199622
1727323200,2024-09-26,42113.42,42175.11,361211989,42224.15,42036.28,,+260.36,+0.62%,,41914.75,42097.22,564132136,41863.64,477459335,41403.63,422198712
1727236800,2024-09-25,42236.09,41914.75,385161670,42299.64,41859.73,,-293.47,-0.70%,,42208.22,42067.23,579135484,41755.81,470268263,41349.45,417746843
1727150400,2024-09-24,42234.99,42208.22,401024885,42281.06,42056.82,,+83.57,+0.20%,,42124.65,41984.90,578823484,41650.50,467356854,41316.23,411297000
1727064000,2024-09-23,42060.40,42124.65,455202916,42190.05,42012.22,,+61.29,+0.15%,,42063.36,41864.50,588342059,41503.38,463350050,41267.85,403711134
1726804800,2024-09-20,41959.43,42063.36,1218059219,42138.41,41865.95,,+38.17,+0.09%,,42025.19,41763.98,579037173,41373.87,455502032,41220.37,395955424
1726718400,2024-09-19,41972.56,42025.19,436228728,42160.91,41832.09,,+522.09,+1.26%,,41503.10,41630.07,390786534,41202.08,370740456,41152.84,350576275
1726632000,2024-09-18,41628.91,41503.10,383601673,41981.97,41449.00,,-103.08,-0.25%,,41606.18,41444.38,361401042,41075.13,360243575,41096.11,342837985
1726545600,2024-09-17,41723.78,41606.18,448617758,41835.28,41470.69,,-15.90,-0.04%,,41622.08,41316.10,355890223,41022.32,357822079,41062.70,338627040
1726459200,2024-09-16,41435.17,41622.08,408678489,41733.97,41435.17,,+228.30,+0.55%,,41393.78,41142.26,338358042,40955.39,355013653,41027.22,330605543
1726200000,2024-09-13,41153.70,41393.78,276806020,41533.84,41128.70,,+297.01,+0.72%,,41096.77,40983.76,331966890,40949.49,363635879,40979.10,326332497
1726113600,2024-09-12,40862.11,41096.77,289301268,41107.35,40665.53,,+235.06,+0.58%,,40861.71,40774.09,350694378,40943.62,366938090,40937.57,334835183
