时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743087600,2025-03-28,2592.63,2557.98,,2592.63,2549.26,,-49.17,-1.89%,,2607.15,2611.39,0,2618.88,0,2588.56,0
1743001200,2025-03-27,2620.28,2607.15,,2633.03,2603.41,,-36.79,-1.39%,,2643.94,2628.42,0,2619.72,0,2591.74,0
1742914800,2025-03-26,2628.09,2643.94,,2649.15,2618.05,,+28.13,+1.08%,,2615.81,2634.41,0,2616.37,0,2593.44,0
1742828400,2025-03-25,2653.04,2615.81,,2654.63,2612.74,,-16.26,-0.62%,,2632.07,2631.35,0,2609.46,0,2592.76,0
1742742000,2025-03-24,2636.43,2632.07,,2648.82,2629.38,,-11.06,-0.42%,,2643.13,2630.65,0,2601.64,0,2594.23,0
1742482800,2025-03-21,2633.90,2643.13,,2645.82,2617.78,,+6.03,+0.23%,,2637.10,2626.38,0,2595.47,0,2595.36,0
1742396400,2025-03-20,2648.16,2637.10,,2650.72,2629.20,,+8.48,+0.32%,,2628.62,2611.02,0,2587.50,0,2595.90,0
1742310000,2025-03-19,2613.48,2628.62,,2642.83,2613.48,,+16.28,+0.62%,,2612.34,2598.33,0,2581.41,0,2597.62,0
1742223600,2025-03-18,2627.27,2612.34,,2638.56,2606.91,,+1.65,+0.06%,,2610.69,2587.57,0,2574.36,0,2597.53,0
1742137200,2025-03-17,2588.32,2610.69,,2610.69,2587.52,,+44.33,+1.73%,,2566.36,2572.62,0,2566.02,0,2597.44,0
1741878000,2025-03-14,2565.18,2566.36,,2576.74,2559.24,,-7.28,-0.28%,,2573.64,2564.56,0,2558.23,0,2596.46,0
1741791600,2025-03-13,2598.06,2573.64,,2600.07,2561.02,,-1.18,-0.05%,,2574.82,2563.99,0,2563.77,0,2597.30,0
1741705200,2025-03-12,2552.60,2574.82,,2579.69,2541.66,,+37.22,+1.47%,,2537.60,2564.49,0,2570.51,0,2596.03,0
1741618800,2025-03-11,2516.69,2537.60,,2547.88,2505.91,,-32.79,-1.28%,,2570.39,2561.15,0,2576.06,0,2594.25,0
1741532400,2025-03-10,2555.40,2570.39,,2579.76,2549.99,,+6.91,+0.27%,,2563.48,2559.42,0,2586.83,0,2593.43,0
1741273200,2025-03-07,2553.44,2563.48,,2575.48,2541.49,,-12.68,-0.49%,,2576.16,2551.89,0,2595.24,0,2591.01,0
1741186800,2025-03-06,2573.55,2576.16,,2583.65,2565.57,,+18.03,+0.70%,,2558.13,2563.55,0,2604.30,0,2589.67,0
