时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1743091200,2025-03-28,2091.52,2068.76,3569339799,2100.84,2054.55,89474603075.00,-12.47,-0.60%,,2081.23,2077.33,4463018775,2111.71,4753702182,2100.17,4998839472
1743004800,2025-03-27,2076.03,2081.23,5427157940,2106.92,2060.98,123173513191.00,+9.92,+0.48%,,2071.31,2081.19,4991940622,2116.18,4942127289,2097.87,5265081867
1742918400,2025-03-26,2067.12,2071.31,3942316280,2081.86,2059.36,100304065510.00,+13.95,+0.68%,,2057.37,2092.11,4928112089,2114.94,4819755278,2098.40,5398921370
1742832000,2025-03-25,2085.80,2057.37,5143579270,2096.27,2055.50,178902071745.00,-50.63,-2.40%,,2107.99,2115.26,5095654199,2116.07,4897903239,2099.80,5534972806
1742745600,2025-03-24,2094.17,2107.99,4232700584,2115.04,2074.80,119844769338.00,+19.92,+0.95%,,2088.07,2141.70,5041023781,2120.07,4849534629,2098.49,5598891538
1742486400,2025-03-21,2124.20,2088.07,6213949037,2136.66,2078.30,182021738579.00,-47.74,-2.24%,,2135.80,2146.08,5044385590,2118.97,4905719606,2096.29,5765688570
1742400000,2025-03-20,2185.54,2135.80,5108015272,2185.54,2132.17,161162510321.00,-51.27,-2.34%,,2187.08,2151.17,4892313956,2124.00,4919766485,2095.88,5894191141
1742313600,2025-03-19,2181.72,2187.08,4780026832,2197.05,2172.26,144944593928.00,-2.50,-0.11%,,2189.58,2137.77,4711398467,2125.67,5067222676,2088.72,5915429179
1742227200,2025-03-18,2181.08,2189.58,4870427178,2189.58,2164.32,158871333225.00,+59.72,+2.80%,,2129.86,2116.87,4700152279,2114.93,5098691816,2080.72,5948581853
1742140800,2025-03-17,2137.57,2129.86,4249509629,2148.86,2123.71,128366313433.00,+16.33,+0.77%,,2113.54,2098.43,4658045478,2098.56,5111625008,2072.92,6086404245
1741881600,2025-03-14,2087.93,2113.54,5453590868,2128.11,2070.78,159134498747.00,+44.73,+2.16%,,2068.81,2091.86,4767053621,2088.63,5243976761,2066.50,6326737384
1741795200,2025-03-13,2083.63,2068.81,4203437829,2090.04,2044.26,117736779885.00,-13.76,-0.66%,,2082.56,2096.82,4947219014,2079.56,5588036444,2060.91,6486947504
1741708800,2025-03-12,2108.38,2082.56,4723795893,2116.66,2059.67,138314857183.00,-14.79,-0.71%,,2097.36,2113.56,5423046885,2081.87,5978087463,2053.85,6736724941
1741622400,2025-03-11,2049.21,2097.36,4659893169,2104.68,2046.71,144247621918.00,+0.34,+0.02%,,2097.02,2112.99,5497231352,2083.53,6172042372,2046.18,6828260758
1741536000,2025-03-10,2126.36,2097.02,4794550348,2143.90,2083.39,152686752141.00,-41.35,-1.93%,,2138.37,2098.70,5565204539,2076.92,6348248448,2035.21,6851590143
1741276800,2025-03-07,2134.55,2138.37,6354417829,2179.25,2123.68,215947223578.00,-14.13,-0.66%,,2152.50,2085.41,5720899901,2073.61,6625657534,2025.33,6917854408
1741190400,2025-03-06,2118.28,2152.50,6582577187,2155.23,2117.78,228487144807.00,+72.81,+3.50%,,2079.69,2062.30,6228853875,2067.76,6868615797,2011.65,6919570023
1741104000,2025-03-05,2047.76,2079.69,5094718229,2083.90,2036.14,147231453027.00,+53.78,+2.65%,,2025.91,2050.17,6533128041,2051.77,6763635682,1996.26,6807632158
1741017600,2025-03-04,2000.94,2025.91,4999759101,2036.11,1988.37,146425173991.00,-4.66,-0.23%,,2030.58,2054.08,6846853392,2046.52,6798471889,1983.26,6779774683
1740931200,2025-03-03,2040.94,2030.58,5573027158,2066.83,2017.58,160910117843.00,+7.77,+0.38%,,2022.80,2055.14,7131292357,2047.28,7061183482,1973.82,6720954411
1740672000,2025-02-28,2083.46,2022.80,8894187701,2083.46,2010.84,230613599821.00,-69.09,-3.30%,,2091.89,2061.82,7530415167,2044.37,7409498007,1961.59,6595855573
1740585600,2025-02-27,2098.48,2091.89,8103948015,2123.97,2067.79,227749789563.00,-7.31,-0.35%,,2099.20,2073.23,7508377718,2042.26,7385858564,1949.69,6216460338
1740499200,2025-02-26,2049.78,2099.20,6663344986,2116.49,2049.78,204021996443.00,+67.97,+3.35%,,2031.23,2053.36,6994143323,2025.82,7495362420,1934.11,6076605526
1740412800,2025-02-25,2004.61,2031.23,6421953923,2051.52,2004.61,186823147415.00,-32.76,-1.59%,,2063.98,2038.96,6750090386,2008.83,7484479145,1917.38,5966061786
1740326400,2025-02-24,2080.33,2063.98,7568641209,2098.57,2054.68,198579552638.00,-15.89,-0.76%,,2079.87,2039.42,6991074608,1993.51,7354931839,1902.42,5838938449
1740067200,2025-02-21,2043.01,2079.87,8784000457,2079.88,2025.16,239813904795.00,+87.33,+4.38%,,1992.54,2026.92,7288580848,1977.04,7210051282,1886.10,5606040201
1739980800,2025-02-20,2006.88,1992.54,5532776039,2016.84,1980.13,147165324515.00,-34.63,-1.71%,,2027.17,2011.28,7263339410,1955.53,6970524250,1870.51,5327159482
1739894400,2025-02-19,2015.19,2027.17,5443080304,2031.06,2002.81,139898577499.00,-6.36,-0.31%,,2033.53,1998.28,7996581517,1940.75,6851628635,1858.51,5231029057
1739808000,2025-02-18,2005.10,2033.53,7626875030,2049.54,2000.62,184675571826.00,+32.05,+1.60%,,2001.48,1978.71,8218867903,1920.00,6761077476,1843.14,5115056338
1739721600,2025-02-17,2015.84,2001.48,9056172409,2036.45,1974.04,251120328030.00,-0.18,-0.01%,,2001.66,1947.60,7718789070,1900.37,6380725341,1827.22,4904817303
1739462400,2025-02-14,1946.20,2001.66,8657793266,2001.66,1946.20,214061089794.00,+74.10,+3.84%,,1927.56,1927.16,7131521716,1878.81,5782213139,1811.92,4612005867
1739376000,2025-02-13,1939.75,1927.56,9198986575,1991.76,1919.80,228013954067.00,-1.75,-0.09%,,1929.31,1899.78,6677709089,1857.13,5047062112,1796.26,4360867456
